yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2012,2012.0,Export,Algeria,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",183274.0,,28.0000272,2.9999825,-36.8535712,174.7456809
2012,2012.0,Export,Algeria,Chad,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22.0,,28.0000272,2.9999825,15.6134137,19.0156172
2012,2012.0,Export,Algeria,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",256.0,,28.0000272,2.9999825,35.000074,104.999927
2012,2012.0,Export,Algeria,Benin,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",82.0,,28.0000272,2.9999825,9.5293472,2.2584408
2012,2012.0,Export,Algeria,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23368.0,,28.0000272,2.9999825,46.603354,1.8883335
2012,2012.0,Export,Algeria,Gabon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",55.0,,28.0000272,2.9999825,-0.8999695,11.6899699
2012,2012.0,Export,Algeria,Ireland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",144620.0,,28.0000272,2.9999825,52.865196,-7.9794599
2012,2012.0,Export,Algeria,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",433.0,,28.0000272,2.9999825,42.6384261,12.674297
2012,2012.0,Export,Algeria,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",598.0,,28.0000272,2.9999825,36.5748441,139.2394179
2012,2012.0,Export,Algeria,Madagascar,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",43.0,,28.0000272,2.9999825,-18.9249604,46.4416422
2012,2012.0,Export,Algeria,Mauritania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22.0,,28.0000272,2.9999825,20.2540382,-9.2399263
2012,2012.0,Export,Algeria,Morocco,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13371.0,,28.0000272,2.9999825,31.1728205,-7.3362482
2012,2012.0,Export,Algeria,Niger,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20.0,,28.0000272,2.9999825,17.7356214,9.3238432
2012,2012.0,Export,Algeria,Togo,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22.0,,28.0000272,2.9999825,8.7800265,1.0199765
2012,2012.0,Export,Algeria,Tunisia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",340.0,,28.0000272,2.9999825,33.8439408,9.400138
2012,2012.0,Export,Algeria,Burkina Faso,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22.0,,28.0000272,2.9999825,12.0753083,-1.6880314
