yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2012,2012.0,Import,Algeria,World,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",905353.0,,28.0000272,2.9999825,-36.8535712,174.7456809
2012,2012.0,Import,Algeria,China,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",278152.0,,28.0000272,2.9999825,35.000074,104.999927
2012,2012.0,Import,Algeria,France,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",30144.0,,28.0000272,2.9999825,46.603354,1.8883335
2012,2012.0,Import,Algeria,"China, Hong Kong SAR",46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",31569.0,,28.0000272,2.9999825,22.350627,114.1849161
2012,2012.0,Import,Algeria,Italy,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",5005.0,,28.0000272,2.9999825,42.6384261,12.674297
2012,2012.0,Import,Algeria,Madagascar,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",9841.0,,28.0000272,2.9999825,-18.9249604,46.4416422
2012,2012.0,Import,Algeria,India,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",12329.0,,28.0000272,2.9999825,22.3511148,78.6677428
2012,2012.0,Import,Algeria,Singapore,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",5475.0,,28.0000272,2.9999825,1.357107,103.8194992
2012,2012.0,Import,Algeria,Viet Nam,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1274.0,,28.0000272,2.9999825,15.9266657,107.9650855
2012,2012.0,Import,Algeria,Egypt,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",530656.0,,28.0000272,2.9999825,26.2540493,29.2675469
2012,2012.0,Import,Algeria,United Kingdom,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",908.0,,28.0000272,2.9999825,54.7023545,-3.2765753
