yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2009,2009.0,Export,Azerbaijan,World,11.0,Products of the milling industry; malt; starches; inulin; wheat gluten,3494832.0,,40.3936294,47.7872508,-36.8535712,174.7456809
2009,2009.0,Export,Azerbaijan,Georgia,11.0,Products of the milling industry; malt; starches; inulin; wheat gluten,3419229.0,,40.3936294,47.7872508,32.3293809,-83.1137366
2009,2009.0,Export,Azerbaijan,Iran,11.0,Products of the milling industry; malt; starches; inulin; wheat gluten,66400.0,,40.3936294,47.7872508,32.6475314,54.5643516
2009,2009.0,Export,Azerbaijan,Iraq,11.0,Products of the milling industry; malt; starches; inulin; wheat gluten,8008.0,,40.3936294,47.7872508,33.0955793,44.1749775
2009,2009.0,Export,Azerbaijan,Israel,11.0,Products of the milling industry; malt; starches; inulin; wheat gluten,1195.0,,40.3936294,47.7872508,30.8124247,34.8594762
