yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2019,2019.0,Export,Bahrain,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",6795984.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2019,2019.0,Export,Bahrain,Algeria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",446.0,,26.1551249,50.5344606,28.0000272,2.9999825
2019,2019.0,Export,Bahrain,Austria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",430.0,,26.1551249,50.5344606,47.59397,14.12456
2019,2019.0,Export,Bahrain,Bangladesh,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",25319.0,,26.1551249,50.5344606,24.4769288,90.2934413
2019,2019.0,Export,Bahrain,Belgium,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",688.0,,26.1551249,50.5344606,50.6402809,4.6667145
2019,2019.0,Export,Bahrain,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3360.0,,26.1551249,50.5344606,61.0666922,-107.991707
2019,2019.0,Export,Bahrain,Croatia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",6501.0,,26.1551249,50.5344606,45.5643442,17.0118954
2019,2019.0,Export,Bahrain,Dominican Rep.,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",53.0,,26.1551249,50.5344606,,
2019,2019.0,Export,Bahrain,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",76240.0,,26.1551249,50.5344606,46.603354,1.8883335
2019,2019.0,Export,Bahrain,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",21385.0,,26.1551249,50.5344606,51.1638175,10.4478313
2019,2019.0,Export,Bahrain,Greece,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2824.0,,26.1551249,50.5344606,38.9953683,21.9877132
2019,2019.0,Export,Bahrain,"China, Hong Kong SAR",82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",80.0,,26.1551249,50.5344606,22.350627,114.1849161
2019,2019.0,Export,Bahrain,Iraq,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2551.0,,26.1551249,50.5344606,33.0955793,44.1749775
2019,2019.0,Export,Bahrain,Italy,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1115.0,,26.1551249,50.5344606,42.6384261,12.674297
2019,2019.0,Export,Bahrain,Japan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3884.0,,26.1551249,50.5344606,36.5748441,139.2394179
2019,2019.0,Export,Bahrain,Kuwait,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",38527.0,,26.1551249,50.5344606,29.2733964,47.4979476
2019,2019.0,Export,Bahrain,Liberia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1601.0,,26.1551249,50.5344606,5.7499721,-9.3658524
2019,2019.0,Export,Bahrain,Malta,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1062.0,,26.1551249,50.5344606,35.8885993,14.4476911
2019,2019.0,Export,Bahrain,Morocco,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",79.0,,26.1551249,50.5344606,31.1728205,-7.3362482
2019,2019.0,Export,Bahrain,Oman,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",45048.0,,26.1551249,50.5344606,21.0000287,57.0036901
2019,2019.0,Export,Bahrain,Netherlands,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1182.0,,26.1551249,50.5344606,52.2434979,5.6343227
2019,2019.0,Export,Bahrain,Nigeria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",7222.0,,26.1551249,50.5344606,9.6000359,7.9999721
2019,2019.0,Export,Bahrain,Norway,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",308.0,,26.1551249,50.5344606,60.5000209,9.0999715
2019,2019.0,Export,Bahrain,Portugal,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1927.0,,26.1551249,50.5344606,39.6621648,-8.1353519
