yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2017,2017.0,Export,Malta,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13597538.0,,35.8885993,14.4476911,-36.8535712,174.7456809
2017,2017.0,Export,Malta,Albania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4401.0,,35.8885993,14.4476911,41.000028,19.9999619
2017,2017.0,Export,Malta,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",235379.0,,35.8885993,14.4476911,-24.7761086,134.755
2017,2017.0,Export,Malta,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",15.0,,35.8885993,14.4476911,47.59397,14.12456
2017,2017.0,Export,Malta,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",41853.0,,35.8885993,14.4476911,50.6402809,4.6667145
2017,2017.0,Export,Malta,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",121765.0,,35.8885993,14.4476911,61.0666922,-107.991707
2017,2017.0,Export,Malta,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",40606.0,,35.8885993,14.4476911,35.000074,104.999927
2017,2017.0,Export,Malta,Cyprus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",102790.0,,35.8885993,14.4476911,34.9823018,33.1451285
2017,2017.0,Export,Malta,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",324.0,,35.8885993,14.4476911,49.7439047,15.3381061
2017,2017.0,Export,Malta,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4532.0,,35.8885993,14.4476911,63.2467777,25.9209164
2017,2017.0,Export,Malta,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1133.0,,35.8885993,14.4476911,46.603354,1.8883335
2017,2017.0,Export,Malta,Ghana,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22230.0,,35.8885993,14.4476911,8.0300284,-1.0800271
2017,2017.0,Export,Malta,Indonesia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",440.0,,35.8885993,14.4476911,-2.4833826,117.8902853
2017,2017.0,Export,Malta,Israel,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",81929.0,,35.8885993,14.4476911,30.8124247,34.8594762
2017,2017.0,Export,Malta,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",48282.0,,35.8885993,14.4476911,42.6384261,12.674297
2017,2017.0,Export,Malta,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",115231.0,,35.8885993,14.4476911,36.5748441,139.2394179
2017,2017.0,Export,Malta,Rep. of Korea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14428.0,,35.8885993,14.4476911,,
2017,2017.0,Export,Malta,Kuwait,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9206.0,,35.8885993,14.4476911,29.2733964,47.4979476
2017,2017.0,Export,Malta,Lebanon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11.0,,35.8885993,14.4476911,33.8750629,35.843409
2017,2017.0,Export,Malta,Libya,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1300881.0,,35.8885993,14.4476911,26.8234472,18.1236723
2017,2017.0,Export,Malta,Malaysia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",564259.0,,35.8885993,14.4476911,4.5693754,102.2656823
2017,2017.0,Export,Malta,"Other Asia, nes",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",105.0,,35.8885993,14.4476911,,
2017,2017.0,Export,Malta,Aruba,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6458.0,,35.8885993,14.4476911,12.51756625,-69.98186415210564
