yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2003,2003.0,Re-Export,Cyprus,World,35.0,Albuminoidal substances; modified starches; glues; enzymes,84597.0,,34.9823018,33.1451285,-36.8535712,174.7456809
2003,2003.0,Re-Export,Cyprus,Bulgaria,35.0,Albuminoidal substances; modified starches; glues; enzymes,2229.0,,34.9823018,33.1451285,42.6073975,25.4856617
2003,2003.0,Re-Export,Cyprus,France,35.0,Albuminoidal substances; modified starches; glues; enzymes,7201.0,,34.9823018,33.1451285,46.603354,1.8883335
2003,2003.0,Re-Export,Cyprus,Greece,35.0,Albuminoidal substances; modified starches; glues; enzymes,11382.0,,34.9823018,33.1451285,38.9953683,21.9877132
2003,2003.0,Re-Export,Cyprus,Israel,35.0,Albuminoidal substances; modified starches; glues; enzymes,465.0,,34.9823018,33.1451285,30.8124247,34.8594762
2003,2003.0,Re-Export,Cyprus,Jordan,35.0,Albuminoidal substances; modified starches; glues; enzymes,19169.0,,34.9823018,33.1451285,31.1667049,36.941628
2003,2003.0,Re-Export,Cyprus,Lebanon,35.0,Albuminoidal substances; modified starches; glues; enzymes,4498.0,,34.9823018,33.1451285,33.8750629,35.843409
2003,2003.0,Re-Export,Cyprus,Libya,35.0,Albuminoidal substances; modified starches; glues; enzymes,8566.0,,34.9823018,33.1451285,26.8234472,18.1236723
2003,2003.0,Re-Export,Cyprus,Netherlands,35.0,Albuminoidal substances; modified starches; glues; enzymes,8491.0,,34.9823018,33.1451285,52.2434979,5.6343227
2003,2003.0,Re-Export,Cyprus,Romania,35.0,Albuminoidal substances; modified starches; glues; enzymes,15889.0,,34.9823018,33.1451285,45.9852129,24.6859225
2003,2003.0,Re-Export,Cyprus,Syria,35.0,Albuminoidal substances; modified starches; glues; enzymes,2633.0,,34.9823018,33.1451285,34.6401861,39.0494106
2003,2003.0,Re-Export,Cyprus,Ukraine,35.0,Albuminoidal substances; modified starches; glues; enzymes,875.0,,34.9823018,33.1451285,49.4871968,31.2718321
2003,2003.0,Re-Export,Cyprus,United Kingdom,35.0,Albuminoidal substances; modified starches; glues; enzymes,3199.0,,34.9823018,33.1451285,54.7023545,-3.2765753
