yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2017,2017.0,Export,Oman,World,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,201884912.0,,21.0000287,57.0036901,-36.8535712,174.7456809
2017,2017.0,Export,Oman,Algeria,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,83.0,,21.0000287,57.0036901,28.0000272,2.9999825
2017,2017.0,Export,Oman,Bahrain,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,3259617.0,,21.0000287,57.0036901,26.1551249,50.5344606
2017,2017.0,Export,Oman,Bangladesh,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,614449.0,,21.0000287,57.0036901,24.4769288,90.2934413
2017,2017.0,Export,Oman,Belgium,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,403513.0,,21.0000287,57.0036901,50.6402809,4.6667145
2017,2017.0,Export,Oman,Chile,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,303799.0,,21.0000287,57.0036901,-31.7613365,-71.3187697
2017,2017.0,Export,Oman,China,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1164223.0,,21.0000287,57.0036901,35.000074,104.999927
2017,2017.0,Export,Oman,Comoros,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,676.0,,21.0000287,57.0036901,-12.2045176,44.2832964
2017,2017.0,Export,Oman,Djibouti,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,77154.0,,21.0000287,57.0036901,11.8145966,42.8453061
2017,2017.0,Export,Oman,Georgia,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31877.0,,21.0000287,57.0036901,32.3293809,-83.1137366
2017,2017.0,Export,Oman,Iran,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2988244.0,,21.0000287,57.0036901,32.6475314,54.5643516
2017,2017.0,Export,Oman,Japan,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,232501.0,,21.0000287,57.0036901,36.5748441,139.2394179
2017,2017.0,Export,Oman,Jordan,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,100171.0,,21.0000287,57.0036901,31.1667049,36.941628
2017,2017.0,Export,Oman,Kenya,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,70694.0,,21.0000287,57.0036901,1.4419683,38.4313975
2017,2017.0,Export,Oman,Kuwait,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2872686.0,,21.0000287,57.0036901,29.2733964,47.4979476
2017,2017.0,Export,Oman,Lebanon,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,546174.0,,21.0000287,57.0036901,33.8750629,35.843409
2017,2017.0,Export,Oman,Libya,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,949648.0,,21.0000287,57.0036901,26.8234472,18.1236723
2017,2017.0,Export,Oman,Malaysia,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2945552.0,,21.0000287,57.0036901,4.5693754,102.2656823
