yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2009,2009.0,Re-Export,Armenia,World,11.0,Products of the milling industry; malt; starches; inulin; wheat gluten,5808.0,,40.7696272,44.6736646,-36.8535712,174.7456809
2009,2009.0,Re-Export,Armenia,Georgia,11.0,Products of the milling industry; malt; starches; inulin; wheat gluten,5700.0,,40.7696272,44.6736646,32.3293809,-83.1137366
2009,2009.0,Re-Export,Armenia,Spain,11.0,Products of the milling industry; malt; starches; inulin; wheat gluten,108.0,,40.7696272,44.6736646,39.3260685,-4.8379791
