yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2012,2012.0,Re-Export,Bahrain,World,35.0,Albuminoidal substances; modified starches; glues; enzymes,578871.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2012,2012.0,Re-Export,Bahrain,Cyprus,35.0,Albuminoidal substances; modified starches; glues; enzymes,465.0,,26.1551249,50.5344606,34.9823018,33.1451285
2012,2012.0,Re-Export,Bahrain,Greece,35.0,Albuminoidal substances; modified starches; glues; enzymes,247.0,,26.1551249,50.5344606,38.9953683,21.9877132
2012,2012.0,Re-Export,Bahrain,Liberia,35.0,Albuminoidal substances; modified starches; glues; enzymes,383.0,,26.1551249,50.5344606,5.7499721,-9.3658524
2012,2012.0,Re-Export,Bahrain,Netherlands,35.0,Albuminoidal substances; modified starches; glues; enzymes,16.0,,26.1551249,50.5344606,52.2434979,5.6343227
2012,2012.0,Re-Export,Bahrain,Marshall Isds,35.0,Albuminoidal substances; modified starches; glues; enzymes,13.0,,26.1551249,50.5344606,,
2012,2012.0,Re-Export,Bahrain,Qatar,35.0,Albuminoidal substances; modified starches; glues; enzymes,98.0,,26.1551249,50.5344606,25.3336984,51.2295295
2012,2012.0,Re-Export,Bahrain,Saudi Arabia,35.0,Albuminoidal substances; modified starches; glues; enzymes,566901.0,,26.1551249,50.5344606,25.6242618,42.3528328
2012,2012.0,Re-Export,Bahrain,United Arab Emirates,35.0,Albuminoidal substances; modified starches; glues; enzymes,10558.0,,26.1551249,50.5344606,24.0002488,53.9994829
2012,2012.0,Re-Export,Bahrain,Turkey,35.0,Albuminoidal substances; modified starches; glues; enzymes,178.0,,26.1551249,50.5344606,38.9597594,34.9249653
2012,2012.0,Re-Export,Bahrain,United Kingdom,35.0,Albuminoidal substances; modified starches; glues; enzymes,11.0,,26.1551249,50.5344606,54.7023545,-3.2765753
