yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2010,2010.0,Export,Algeria,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",4493059.0,,28.0000272,2.9999825,-36.8535712,174.7456809
2010,2010.0,Export,Algeria,Argentina,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",16213.0,,28.0000272,2.9999825,-34.9964963,-64.9672817
2010,2010.0,Export,Algeria,Belgium,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",25240.0,,28.0000272,2.9999825,50.6402809,4.6667145
2010,2010.0,Export,Algeria,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",5516.0,,28.0000272,2.9999825,61.0666922,-107.991707
2010,2010.0,Export,Algeria,Cabo Verde,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",19340.0,,28.0000272,2.9999825,16.0000552,-24.0083947
2010,2010.0,Export,Algeria,Ecuador,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",14737.0,,28.0000272,2.9999825,-1.3397668,-79.3666965
2010,2010.0,Export,Algeria,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",3653623.0,,28.0000272,2.9999825,46.603354,1.8883335
2010,2010.0,Export,Algeria,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",131761.0,,28.0000272,2.9999825,51.1638175,10.4478313
2010,2010.0,Export,Algeria,Italy,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",485.0,,28.0000272,2.9999825,42.6384261,12.674297
2010,2010.0,Export,Algeria,Rep. of Korea,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",38.0,,28.0000272,2.9999825,,
2010,2010.0,Export,Algeria,Libya,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",16227.0,,28.0000272,2.9999825,26.8234472,18.1236723
2010,2010.0,Export,Algeria,Malaysia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",18424.0,,28.0000272,2.9999825,4.5693754,102.2656823
2010,2010.0,Export,Algeria,Mauritania,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",3083.0,,28.0000272,2.9999825,20.2540382,-9.2399263
2010,2010.0,Export,Algeria,Mexico,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",24573.0,,28.0000272,2.9999825,23.6585116,-102.0077097
2010,2010.0,Export,Algeria,Netherlands,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",3228.0,,28.0000272,2.9999825,52.2434979,5.6343227
2010,2010.0,Export,Algeria,India,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",3450.0,,28.0000272,2.9999825,22.3511148,78.6677428
2010,2010.0,Export,Algeria,Singapore,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",14919.0,,28.0000272,2.9999825,1.357107,103.8194992
2010,2010.0,Export,Algeria,Switzerland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",4091.0,,28.0000272,2.9999825,46.7985624,8.2319736
2010,2010.0,Export,Algeria,United Arab Emirates,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",4476.0,,28.0000272,2.9999825,24.0002488,53.9994829
2010,2010.0,Export,Algeria,Tunisia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",437727.0,,28.0000272,2.9999825,33.8439408,9.400138
2010,2010.0,Export,Algeria,United Kingdom,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",33103.0,,28.0000272,2.9999825,54.7023545,-3.2765753
2010,2010.0,Export,Algeria,USA,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",45924.0,,28.0000272,2.9999825,39.7837304,-100.445882
2010,2010.0,Export,Algeria,Venezuela,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",16881.0,,28.0000272,2.9999825,8.0018709,-66.1109318
