yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2014,2014.0,Export,Malta,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4902006.0,,35.8885993,14.4476911,-36.8535712,174.7456809
2014,2014.0,Export,Malta,Angola,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1057.0,,35.8885993,14.4476911,-11.8775768,17.5691241
2014,2014.0,Export,Malta,Australia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",29012.0,,35.8885993,14.4476911,-24.7761086,134.755
2014,2014.0,Export,Malta,Bahrain,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",250.0,,35.8885993,14.4476911,26.1551249,50.5344606
2014,2014.0,Export,Malta,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",38681.0,,35.8885993,14.4476911,61.0666922,-107.991707
2014,2014.0,Export,Malta,Chile,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2674.0,,35.8885993,14.4476911,-31.7613365,-71.3187697
2014,2014.0,Export,Malta,China,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",11200.0,,35.8885993,14.4476911,35.000074,104.999927
2014,2014.0,Export,Malta,Congo,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",106703.0,,35.8885993,14.4476911,-2.9814344,23.8222636
2014,2014.0,Export,Malta,Cyprus,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3195.0,,35.8885993,14.4476911,34.9823018,33.1451285
2014,2014.0,Export,Malta,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",39524.0,,35.8885993,14.4476911,46.603354,1.8883335
2014,2014.0,Export,Malta,Gabon,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",529.0,,35.8885993,14.4476911,-0.8999695,11.6899699
2014,2014.0,Export,Malta,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1147160.0,,35.8885993,14.4476911,51.1638175,10.4478313
2014,2014.0,Export,Malta,Greece,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",15.0,,35.8885993,14.4476911,38.9953683,21.9877132
2014,2014.0,Export,Malta,"China, Hong Kong SAR",82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1558.0,,35.8885993,14.4476911,22.350627,114.1849161
2014,2014.0,Export,Malta,Iraq,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5288.0,,35.8885993,14.4476911,33.0955793,44.1749775
2014,2014.0,Export,Malta,Ireland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",58479.0,,35.8885993,14.4476911,52.865196,-7.9794599
2014,2014.0,Export,Malta,Israel,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2742.0,,35.8885993,14.4476911,30.8124247,34.8594762
2014,2014.0,Export,Malta,Italy,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",808527.0,,35.8885993,14.4476911,42.6384261,12.674297
2014,2014.0,Export,Malta,Japan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",28488.0,,35.8885993,14.4476911,36.5748441,139.2394179
2014,2014.0,Export,Malta,Kenya,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",529.0,,35.8885993,14.4476911,1.4419683,38.4313975
