yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2009,2009.0,Export,Malta,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1947131.0,,35.8885993,14.4476911,-36.8535712,174.7456809
2009,2009.0,Export,Malta,Australia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",13889.0,,35.8885993,14.4476911,-24.7761086,134.755
2009,2009.0,Export,Malta,Austria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",6.0,,35.8885993,14.4476911,47.59397,14.12456
2009,2009.0,Export,Malta,Belgium,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",817.0,,35.8885993,14.4476911,50.6402809,4.6667145
2009,2009.0,Export,Malta,Chile,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",302.0,,35.8885993,14.4476911,-31.7613365,-71.3187697
2009,2009.0,Export,Malta,China,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",3528.0,,35.8885993,14.4476911,35.000074,104.999927
2009,2009.0,Export,Malta,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1469.0,,35.8885993,14.4476911,46.603354,1.8883335
2009,2009.0,Export,Malta,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1033013.0,,35.8885993,14.4476911,51.1638175,10.4478313
2009,2009.0,Export,Malta,Greece,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2158.0,,35.8885993,14.4476911,38.9953683,21.9877132
2009,2009.0,Export,Malta,Guatemala,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1899.0,,35.8885993,14.4476911,15.5855545,-90.345759
2009,2009.0,Export,Malta,"China, Hong Kong SAR",82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",812.0,,35.8885993,14.4476911,22.350627,114.1849161
