yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2012,2012.0,Export,Armenia,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1156112.0,,40.7696272,44.6736646,-36.8535712,174.7456809
2012,2012.0,Export,Armenia,Australia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",68.0,,40.7696272,44.6736646,-24.7761086,134.755
2012,2012.0,Export,Armenia,Belgium,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",21006.0,,40.7696272,44.6736646,50.6402809,4.6667145
2012,2012.0,Export,Armenia,Belarus,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",47.0,,40.7696272,44.6736646,53.4250605,27.6971358
2012,2012.0,Export,Armenia,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",7778.0,,40.7696272,44.6736646,61.0666922,-107.991707
2012,2012.0,Export,Armenia,Czechia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",200.0,,40.7696272,44.6736646,49.7439047,15.3381061
2012,2012.0,Export,Armenia,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2721.0,,40.7696272,44.6736646,46.603354,1.8883335
2012,2012.0,Export,Armenia,Georgia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",4204.0,,40.7696272,44.6736646,32.3293809,-83.1137366
2012,2012.0,Export,Armenia,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",815.0,,40.7696272,44.6736646,51.1638175,10.4478313
2012,2012.0,Export,Armenia,Iran,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",3900.0,,40.7696272,44.6736646,32.6475314,54.5643516
2012,2012.0,Export,Armenia,Kazakhstan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",84531.0,,40.7696272,44.6736646,48.1012954,66.7780818
2012,2012.0,Export,Armenia,Latvia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",811664.0,,40.7696272,44.6736646,56.8406494,24.7537645
2012,2012.0,Export,Armenia,Lithuania,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",127.0,,40.7696272,44.6736646,55.3500003,23.7499997
2012,2012.0,Export,Armenia,Russian Federation,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1244.0,,40.7696272,44.6736646,64.6863136,97.7453061
2012,2012.0,Export,Armenia,Sierra Leone,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",100.0,,40.7696272,44.6736646,8.6400349,-11.8400269
2012,2012.0,Export,Armenia,Sweden,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",19.0,,40.7696272,44.6736646,59.6749712,14.5208584
2012,2012.0,Export,Armenia,Tajikistan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",183.0,,40.7696272,44.6736646,38.6281733,70.8156541
2012,2012.0,Export,Armenia,Turkey,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1305.0,,40.7696272,44.6736646,38.9597594,34.9249653
2012,2012.0,Export,Armenia,Turkmenistan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",141924.0,,40.7696272,44.6736646,39.3763807,59.3924609
2012,2012.0,Export,Armenia,Ukraine,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",9800.0,,40.7696272,44.6736646,49.4871968,31.2718321
2012,2012.0,Export,Armenia,United Kingdom,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",21773.0,,40.7696272,44.6736646,54.7023545,-3.2765753
2012,2012.0,Export,Armenia,United Rep. of Tanzania,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1194.0,,40.7696272,44.6736646,,
2012,2012.0,Export,Armenia,USA,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",31160.0,,40.7696272,44.6736646,39.7837304,-100.445882
2012,2012.0,Export,Armenia,"Areas, nes",82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",10351.0,,40.7696272,44.6736646,,
