yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2017,2017.0,Export,Cyprus,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20171423.0,,34.9823018,33.1451285,-36.8535712,174.7456809
2017,2017.0,Export,Cyprus,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",42978.0,,34.9823018,33.1451285,-24.7761086,134.755
2017,2017.0,Export,Cyprus,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",170265.0,,34.9823018,33.1451285,50.6402809,4.6667145
2017,2017.0,Export,Cyprus,Cambodia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",607992.0,,34.9823018,33.1451285,12.5433216,104.8144914
2017,2017.0,Export,Cyprus,Cameroon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",38743.0,,34.9823018,33.1451285,4.6125522,13.1535811
2017,2017.0,Export,Cyprus,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1811.0,,34.9823018,33.1451285,61.0666922,-107.991707
2017,2017.0,Export,Cyprus,Fiji,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",106091.0,,34.9823018,33.1451285,-18.1239696,179.0122737
2017,2017.0,Export,Cyprus,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",820.0,,34.9823018,33.1451285,46.603354,1.8883335
2017,2017.0,Export,Cyprus,Gabon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7925.0,,34.9823018,33.1451285,-0.8999695,11.6899699
2017,2017.0,Export,Cyprus,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11071.0,,34.9823018,33.1451285,51.1638175,10.4478313
2017,2017.0,Export,Cyprus,Greece,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",278017.0,,34.9823018,33.1451285,38.9953683,21.9877132
2017,2017.0,Export,Cyprus,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",69788.0,,34.9823018,33.1451285,22.350627,114.1849161
2017,2017.0,Export,Cyprus,Ireland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",166112.0,,34.9823018,33.1451285,52.865196,-7.9794599
2017,2017.0,Export,Cyprus,Israel,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1078224.0,,34.9823018,33.1451285,30.8124247,34.8594762
2017,2017.0,Export,Cyprus,Jamaica,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",489.0,,34.9823018,33.1451285,18.1850507,-77.3947693
2017,2017.0,Export,Cyprus,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12146.0,,34.9823018,33.1451285,36.5748441,139.2394179
2017,2017.0,Export,Cyprus,Jordan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",58025.0,,34.9823018,33.1451285,31.1667049,36.941628
2017,2017.0,Export,Cyprus,Kuwait,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5661.0,,34.9823018,33.1451285,29.2733964,47.4979476
2017,2017.0,Export,Cyprus,Lebanon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",522941.0,,34.9823018,33.1451285,33.8750629,35.843409
2017,2017.0,Export,Cyprus,Libya,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2424.0,,34.9823018,33.1451285,26.8234472,18.1236723
2017,2017.0,Export,Cyprus,Luxembourg,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",99499.0,,34.9823018,33.1451285,49.8158683,6.1296751
2017,2017.0,Export,Cyprus,Malaysia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",66719.0,,34.9823018,33.1451285,4.5693754,102.2656823
2017,2017.0,Export,Cyprus,Malta,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",772.0,,34.9823018,33.1451285,35.8885993,14.4476911
2017,2017.0,Export,Cyprus,Mexico,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9057.0,,34.9823018,33.1451285,23.6585116,-102.0077097
2017,2017.0,Export,Cyprus,New Zealand,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",425480.0,,34.9823018,33.1451285,-41.5000831,172.8344077
2017,2017.0,Export,Cyprus,Nigeria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",55733.0,,34.9823018,33.1451285,9.6000359,7.9999721
