yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2021,2021.0,Import,Lebanon,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1055600080.0,,33.8750629,35.843409,-36.8535712,174.7456809
2021,2021.0,Import,Lebanon,Andorra,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",21474.0,,33.8750629,35.843409,42.5407167,1.5732033
2021,2021.0,Import,Lebanon,Azerbaijan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",716.0,,33.8750629,35.843409,40.3936294,47.7872508
2021,2021.0,Import,Lebanon,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23332.0,,33.8750629,35.843409,-34.9964963,-64.9672817
2021,2021.0,Import,Lebanon,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5858344.0,,33.8750629,35.843409,-24.7761086,134.755
2021,2021.0,Import,Lebanon,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8358140.0,,33.8750629,35.843409,47.59397,14.12456
2021,2021.0,Import,Lebanon,Bahrain,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7053.0,,33.8750629,35.843409,26.1551249,50.5344606
2021,2021.0,Import,Lebanon,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1532438.0,,33.8750629,35.843409,50.6402809,4.6667145
2021,2021.0,Import,Lebanon,Bosnia Herzegovina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14213.0,,33.8750629,35.843409,44.3053476,17.5961467
2021,2021.0,Import,Lebanon,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",123382.0,,33.8750629,35.843409,-10.3333333,-53.2
2021,2021.0,Import,Lebanon,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",28745.0,,33.8750629,35.843409,42.6073975,25.4856617
2021,2021.0,Import,Lebanon,Cambodia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18116.0,,33.8750629,35.843409,12.5433216,104.8144914
2021,2021.0,Import,Lebanon,Cameroon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10099.0,,33.8750629,35.843409,4.6125522,13.1535811
2021,2021.0,Import,Lebanon,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",82531080.0,,33.8750629,35.843409,61.0666922,-107.991707
2021,2021.0,Import,Lebanon,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",65534682.0,,33.8750629,35.843409,35.000074,104.999927
2021,2021.0,Import,Lebanon,Costa Rica,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",91.0,,33.8750629,35.843409,10.2735633,-84.0739102
2021,2021.0,Import,Lebanon,Croatia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1754.0,,33.8750629,35.843409,45.5643442,17.0118954
2021,2021.0,Import,Lebanon,Cyprus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",201169.0,,33.8750629,35.843409,34.9823018,33.1451285
