yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2018,2018.0,Export,Malta,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5270759.0,,35.8885993,14.4476911,-36.8535712,174.7456809
2018,2018.0,Export,Malta,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23209.0,,35.8885993,14.4476911,-24.7761086,134.755
2018,2018.0,Export,Malta,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",55962.0,,35.8885993,14.4476911,35.000074,104.999927
2018,2018.0,Export,Malta,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",16.0,,35.8885993,14.4476911,49.7439047,15.3381061
2018,2018.0,Export,Malta,Gambia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",472.0,,35.8885993,14.4476911,13.470062,-15.4900464
2018,2018.0,Export,Malta,Ghana,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",57058.0,,35.8885993,14.4476911,8.0300284,-1.0800271
2018,2018.0,Export,Malta,Israel,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",873.0,,35.8885993,14.4476911,30.8124247,34.8594762
2018,2018.0,Export,Malta,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",25094.0,,35.8885993,14.4476911,42.6384261,12.674297
2018,2018.0,Export,Malta,Jordan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",377675.0,,35.8885993,14.4476911,31.1667049,36.941628
2018,2018.0,Export,Malta,Libya,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1073109.0,,35.8885993,14.4476911,26.8234472,18.1236723
2018,2018.0,Export,Malta,Mali,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7499.0,,35.8885993,14.4476911,16.3700359,-2.2900239
2018,2018.0,Export,Malta,Mauritania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",34226.0,,35.8885993,14.4476911,20.2540382,-9.2399263
2018,2018.0,Export,Malta,New Zealand,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13572.0,,35.8885993,14.4476911,-41.5000831,172.8344077
2018,2018.0,Export,Malta,Nigeria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",246669.0,,35.8885993,14.4476911,9.6000359,7.9999721
2018,2018.0,Export,Malta,Norway,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",30490.0,,35.8885993,14.4476911,60.5000209,9.0999715
