yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2019,2019.0,Import,Armenia,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",293849980.0,,40.7696272,44.6736646,-36.8535712,174.7456809
2019,2019.0,Import,Armenia,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4494.0,,40.7696272,44.6736646,-34.9964963,-64.9672817
2019,2019.0,Import,Armenia,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",58768.0,,40.7696272,44.6736646,-24.7761086,134.755
2019,2019.0,Import,Armenia,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4901129.0,,40.7696272,44.6736646,47.59397,14.12456
2019,2019.0,Import,Armenia,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10098404.0,,40.7696272,44.6736646,50.6402809,4.6667145
2019,2019.0,Import,Armenia,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",455329.0,,40.7696272,44.6736646,-10.3333333,-53.2
2019,2019.0,Import,Armenia,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",47572.0,,40.7696272,44.6736646,42.6073975,25.4856617
2019,2019.0,Import,Armenia,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6817165.0,,40.7696272,44.6736646,53.4250605,27.6971358
2019,2019.0,Import,Armenia,Cambodia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9340.0,,40.7696272,44.6736646,12.5433216,104.8144914
2019,2019.0,Import,Armenia,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",405365.0,,40.7696272,44.6736646,61.0666922,-107.991707
2019,2019.0,Import,Armenia,Cabo Verde,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",32.0,,40.7696272,44.6736646,16.0000552,-24.0083947
2019,2019.0,Import,Armenia,Sri Lanka,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14254.0,,40.7696272,44.6736646,7.5554942,80.7137847
2019,2019.0,Import,Armenia,Chad,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5.0,,40.7696272,44.6736646,15.6134137,19.0156172
2019,2019.0,Import,Armenia,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",26471898.0,,40.7696272,44.6736646,35.000074,104.999927
2019,2019.0,Import,Armenia,Croatia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",182.0,,40.7696272,44.6736646,45.5643442,17.0118954
2019,2019.0,Import,Armenia,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",189150.0,,40.7696272,44.6736646,49.7439047,15.3381061
2019,2019.0,Import,Armenia,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",117729.0,,40.7696272,44.6736646,55.670249,10.3333283
2019,2019.0,Import,Armenia,Ecuador,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",297.0,,40.7696272,44.6736646,-1.3397668,-79.3666965
2019,2019.0,Import,Armenia,El Salvador,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13.0,,40.7696272,44.6736646,13.8000382,-88.9140683
2019,2019.0,Import,Armenia,Estonia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",36.0,,40.7696272,44.6736646,58.7523778,25.3319078
