yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Re-Export,Bahrain,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",231063461.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2016,2016.0,Re-Export,Bahrain,Algeria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",98404.0,,26.1551249,50.5344606,28.0000272,2.9999825
2016,2016.0,Re-Export,Bahrain,Angola,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",279994.0,,26.1551249,50.5344606,-11.8775768,17.5691241
2016,2016.0,Re-Export,Bahrain,Antigua and Barbuda,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",342.0,,26.1551249,50.5344606,17.2234721,-61.9554608
2016,2016.0,Re-Export,Bahrain,Azerbaijan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3058176.0,,26.1551249,50.5344606,40.3936294,47.7872508
2016,2016.0,Re-Export,Bahrain,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1799.0,,26.1551249,50.5344606,-24.7761086,134.755
2016,2016.0,Re-Export,Bahrain,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17318.0,,26.1551249,50.5344606,47.59397,14.12456
2016,2016.0,Re-Export,Bahrain,Bangladesh,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1707051.0,,26.1551249,50.5344606,24.4769288,90.2934413
2016,2016.0,Re-Export,Bahrain,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5188300.0,,26.1551249,50.5344606,50.6402809,4.6667145
2016,2016.0,Re-Export,Bahrain,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",15957.0,,26.1551249,50.5344606,42.6073975,25.4856617
2016,2016.0,Re-Export,Bahrain,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13999.0,,26.1551249,50.5344606,61.0666922,-107.991707
2016,2016.0,Re-Export,Bahrain,Chile,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18616.0,,26.1551249,50.5344606,-31.7613365,-71.3187697
2016,2016.0,Re-Export,Bahrain,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2506700.0,,26.1551249,50.5344606,35.000074,104.999927
2016,2016.0,Re-Export,Bahrain,Cyprus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",177659.0,,26.1551249,50.5344606,34.9823018,33.1451285
2016,2016.0,Re-Export,Bahrain,Benin,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",40434.0,,26.1551249,50.5344606,9.5293472,2.2584408
2016,2016.0,Re-Export,Bahrain,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11968.0,,26.1551249,50.5344606,55.670249,10.3333283
2016,2016.0,Re-Export,Bahrain,Ethiopia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",631818.0,,26.1551249,50.5344606,10.2116702,38.6521203
2016,2016.0,Re-Export,Bahrain,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10638.0,,26.1551249,50.5344606,63.2467777,25.9209164
2016,2016.0,Re-Export,Bahrain,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1003958.0,,26.1551249,50.5344606,46.603354,1.8883335
2016,2016.0,Re-Export,Bahrain,Georgia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",40957.0,,26.1551249,50.5344606,32.3293809,-83.1137366
2016,2016.0,Re-Export,Bahrain,Gambia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",44558.0,,26.1551249,50.5344606,13.470062,-15.4900464
2016,2016.0,Re-Export,Bahrain,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",805948.0,,26.1551249,50.5344606,51.1638175,10.4478313
2016,2016.0,Re-Export,Bahrain,Ghana,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",26741.0,,26.1551249,50.5344606,8.0300284,-1.0800271
2016,2016.0,Re-Export,Bahrain,Greece,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",24999.0,,26.1551249,50.5344606,38.9953683,21.9877132
2016,2016.0,Re-Export,Bahrain,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1325129.0,,26.1551249,50.5344606,22.350627,114.1849161
2016,2016.0,Re-Export,Bahrain,Iran,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6648.0,,26.1551249,50.5344606,32.6475314,54.5643516
2016,2016.0,Re-Export,Bahrain,Iraq,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1672356.0,,26.1551249,50.5344606,33.0955793,44.1749775
2016,2016.0,Re-Export,Bahrain,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3402210.0,,26.1551249,50.5344606,42.6384261,12.674297
2016,2016.0,Re-Export,Bahrain,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",398496.0,,26.1551249,50.5344606,36.5748441,139.2394179
2016,2016.0,Re-Export,Bahrain,Jordan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1194066.0,,26.1551249,50.5344606,31.1667049,36.941628
2016,2016.0,Re-Export,Bahrain,Kenya,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",85581.0,,26.1551249,50.5344606,1.4419683,38.4313975
2016,2016.0,Re-Export,Bahrain,Rep. of Korea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",46808.0,,26.1551249,50.5344606,,
