yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2014,2014.0,Export,Algeria,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",728183.0,,28.0000272,2.9999825,-36.8535712,174.7456809
2014,2014.0,Export,Algeria,Brazil,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",55090.0,,28.0000272,2.9999825,-10.3333333,-53.2
2014,2014.0,Export,Algeria,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",169.0,,28.0000272,2.9999825,61.0666922,-107.991707
2014,2014.0,Export,Algeria,China,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1617.0,,28.0000272,2.9999825,35.000074,104.999927
2014,2014.0,Export,Algeria,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",186546.0,,28.0000272,2.9999825,46.603354,1.8883335
2014,2014.0,Export,Algeria,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",548.0,,28.0000272,2.9999825,51.1638175,10.4478313
2014,2014.0,Export,Algeria,Guinea,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",146.0,,28.0000272,2.9999825,10.7226226,-10.7083587
2014,2014.0,Export,Algeria,Portugal,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1.0,,28.0000272,2.9999825,39.6621648,-8.1353519
2014,2014.0,Export,Algeria,Romania,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",10177.0,,28.0000272,2.9999825,45.9852129,24.6859225
2014,2014.0,Export,Algeria,Singapore,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",7663.0,,28.0000272,2.9999825,1.357107,103.8194992
2014,2014.0,Export,Algeria,United Arab Emirates,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3838.0,,28.0000272,2.9999825,24.0002488,53.9994829
2014,2014.0,Export,Algeria,Tunisia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",51.0,,28.0000272,2.9999825,33.8439408,9.400138
2014,2014.0,Export,Algeria,United Kingdom,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",10846.0,,28.0000272,2.9999825,54.7023545,-3.2765753
2014,2014.0,Export,Algeria,USA,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",451491.0,,28.0000272,2.9999825,39.7837304,-100.445882
