yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2021,2021.0,Re-Export,Cyprus,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",25113063.0,,34.9823018,33.1451285,-36.8535712,174.7456809
2021,2021.0,Re-Export,Cyprus,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",480127.0,,34.9823018,33.1451285,-24.7761086,134.755
2021,2021.0,Re-Export,Cyprus,Bahrain,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",21289.0,,34.9823018,33.1451285,26.1551249,50.5344606
2021,2021.0,Re-Export,Cyprus,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2579.0,,34.9823018,33.1451285,-10.3333333,-53.2
2021,2021.0,Re-Export,Cyprus,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",151086.0,,34.9823018,33.1451285,42.6073975,25.4856617
2021,2021.0,Re-Export,Cyprus,Cameroon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",131867.0,,34.9823018,33.1451285,4.6125522,13.1535811
2021,2021.0,Re-Export,Cyprus,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1124.0,,34.9823018,33.1451285,61.0666922,-107.991707
2021,2021.0,Re-Export,Cyprus,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1036929.0,,34.9823018,33.1451285,35.000074,104.999927
2021,2021.0,Re-Export,Cyprus,Costa Rica,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5913.0,,34.9823018,33.1451285,10.2735633,-84.0739102
2021,2021.0,Re-Export,Cyprus,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",305.0,,34.9823018,33.1451285,49.7439047,15.3381061
2021,2021.0,Re-Export,Cyprus,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2429.0,,34.9823018,33.1451285,46.603354,1.8883335
2021,2021.0,Re-Export,Cyprus,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6945.0,,34.9823018,33.1451285,51.1638175,10.4478313
