yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2013,2013.0,Import,Kuwait,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5090435805.0,,29.2733964,47.4979476,-36.8535712,174.7456809
2013,2013.0,Import,Kuwait,Albania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3939.0,,29.2733964,47.4979476,41.000028,19.9999619
2013,2013.0,Import,Kuwait,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",501197.0,,29.2733964,47.4979476,-34.9964963,-64.9672817
2013,2013.0,Import,Kuwait,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",178487602.0,,29.2733964,47.4979476,-24.7761086,134.755
2013,2013.0,Import,Kuwait,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",25219313.0,,29.2733964,47.4979476,47.59397,14.12456
2013,2013.0,Import,Kuwait,Bahrain,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17469025.0,,29.2733964,47.4979476,26.1551249,50.5344606
2013,2013.0,Import,Kuwait,Bangladesh,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",550.0,,29.2733964,47.4979476,24.4769288,90.2934413
2013,2013.0,Import,Kuwait,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7949772.0,,29.2733964,47.4979476,50.6402809,4.6667145
2013,2013.0,Import,Kuwait,Bosnia Herzegovina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11341.0,,29.2733964,47.4979476,44.3053476,17.5961467
2013,2013.0,Import,Kuwait,Botswana,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1453.0,,29.2733964,47.4979476,-23.1681782,24.5928742
2013,2013.0,Import,Kuwait,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1433046.0,,29.2733964,47.4979476,-10.3333333,-53.2
2013,2013.0,Import,Kuwait,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",98033.0,,29.2733964,47.4979476,42.6073975,25.4856617
2013,2013.0,Import,Kuwait,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2659.0,,29.2733964,47.4979476,53.4250605,27.6971358
2013,2013.0,Import,Kuwait,Cambodia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22376.0,,29.2733964,47.4979476,12.5433216,104.8144914
2013,2013.0,Import,Kuwait,Cameroon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6584.0,,29.2733964,47.4979476,4.6125522,13.1535811
2013,2013.0,Import,Kuwait,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",187846201.0,,29.2733964,47.4979476,61.0666922,-107.991707
2013,2013.0,Import,Kuwait,Sri Lanka,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",82005.0,,29.2733964,47.4979476,7.5554942,80.7137847
2013,2013.0,Import,Kuwait,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",121421785.0,,29.2733964,47.4979476,35.000074,104.999927
2013,2013.0,Import,Kuwait,Colombia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7381.0,,29.2733964,47.4979476,4.099917,-72.9088133
