yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2021,2021.0,Export,Armenia,World,47.0,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,174327.0,,40.7696272,44.6736646,-36.8535712,174.7456809
2021,2021.0,Export,Armenia,Russian Federation,47.0,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,174327.0,,40.7696272,44.6736646,64.6863136,97.7453061
