yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2009,2009.0,Re-Export,Qatar,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",5440908.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2009,2009.0,Re-Export,Qatar,Algeria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",38147.0,,25.3336984,51.2295295,28.0000272,2.9999825
2009,2009.0,Re-Export,Qatar,Australia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",626329.0,,25.3336984,51.2295295,-24.7761086,134.755
2009,2009.0,Re-Export,Qatar,Austria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",51686.0,,25.3336984,51.2295295,47.59397,14.12456
2009,2009.0,Re-Export,Qatar,Bahrain,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",5196.0,,25.3336984,51.2295295,26.1551249,50.5344606
2009,2009.0,Re-Export,Qatar,Belgium,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1182.0,,25.3336984,51.2295295,50.6402809,4.6667145
2009,2009.0,Re-Export,Qatar,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",41393.0,,25.3336984,51.2295295,61.0666922,-107.991707
2009,2009.0,Re-Export,Qatar,Denmark,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",104489.0,,25.3336984,51.2295295,55.670249,10.3333283
2009,2009.0,Re-Export,Qatar,Ecuador,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",5122.0,,25.3336984,51.2295295,-1.3397668,-79.3666965
2009,2009.0,Re-Export,Qatar,Eritrea,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",67294.0,,25.3336984,51.2295295,15.9500319,37.9999668
2009,2009.0,Re-Export,Qatar,Finland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",3510.0,,25.3336984,51.2295295,63.2467777,25.9209164
