yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2007,2007.0,Re-Export,Bahrain,World,36.0,Explosives; pyrotechnic products; matches,9375.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2007,2007.0,Re-Export,Bahrain,United Arab Emirates,36.0,Explosives; pyrotechnic products; matches,2346.0,,26.1551249,50.5344606,24.0002488,53.9994829
2007,2007.0,Re-Export,Bahrain,United Rep. of Tanzania,36.0,Explosives; pyrotechnic products; matches,7029.0,,26.1551249,50.5344606,,
