yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Re-Import,Georgia,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9215.0,,32.3293809,-83.1137366,-36.8535712,174.7456809
2016,2016.0,Re-Import,Georgia,Azerbaijan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6000.0,,32.3293809,-83.1137366,40.3936294,47.7872508
2016,2016.0,Re-Import,Georgia,Lebanon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2315.0,,32.3293809,-83.1137366,33.8750629,35.843409
2016,2016.0,Re-Import,Georgia,Turkey,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",900.0,,32.3293809,-83.1137366,38.9597594,34.9249653
