yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Re-Export,Oman,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",553677089.0,,21.0000287,57.0036901,-36.8535712,174.7456809
2016,2016.0,Re-Export,Oman,Algeria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",47482.0,,21.0000287,57.0036901,28.0000272,2.9999825
2016,2016.0,Re-Export,Oman,Andorra,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5960699.0,,21.0000287,57.0036901,42.5407167,1.5732033
2016,2016.0,Re-Export,Oman,Angola,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",27308.0,,21.0000287,57.0036901,-11.8775768,17.5691241
2016,2016.0,Re-Export,Oman,Azerbaijan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",77232.0,,21.0000287,57.0036901,40.3936294,47.7872508
2016,2016.0,Re-Export,Oman,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",119071.0,,21.0000287,57.0036901,-24.7761086,134.755
2016,2016.0,Re-Export,Oman,Bahrain,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",146192.0,,21.0000287,57.0036901,26.1551249,50.5344606
2016,2016.0,Re-Export,Oman,Bangladesh,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",92665.0,,21.0000287,57.0036901,24.4769288,90.2934413
2016,2016.0,Re-Export,Oman,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4963362.0,,21.0000287,57.0036901,50.6402809,4.6667145
2016,2016.0,Re-Export,Oman,Bolivia (Plurinational State of),87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",123222.0,,21.0000287,57.0036901,-17.0568696,-64.9912286
2016,2016.0,Re-Export,Oman,Myanmar,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7544.0,,21.0000287,57.0036901,17.1750495,95.9999652
