yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2021,2021.0,Re-Export,Armenia,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6479960.0,,40.7696272,44.6736646,-36.8535712,174.7456809
2021,2021.0,Re-Export,Armenia,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3118876.0,,40.7696272,44.6736646,50.6402809,4.6667145
2021,2021.0,Re-Export,Armenia,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",978393.0,,40.7696272,44.6736646,35.000074,104.999927
2021,2021.0,Re-Export,Armenia,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",15000.0,,40.7696272,44.6736646,46.603354,1.8883335
2021,2021.0,Re-Export,Armenia,Georgia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",316778.0,,40.7696272,44.6736646,32.3293809,-83.1137366
2021,2021.0,Re-Export,Armenia,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5781.0,,40.7696272,44.6736646,51.1638175,10.4478313
2021,2021.0,Re-Export,Armenia,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",54500.0,,40.7696272,44.6736646,22.350627,114.1849161
2021,2021.0,Re-Export,Armenia,Iran,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",251702.0,,40.7696272,44.6736646,32.6475314,54.5643516
2021,2021.0,Re-Export,Armenia,Iraq,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",87021.0,,40.7696272,44.6736646,33.0955793,44.1749775
2021,2021.0,Re-Export,Armenia,Saudi Arabia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",470126.0,,40.7696272,44.6736646,25.6242618,42.3528328
2021,2021.0,Re-Export,Armenia,United Arab Emirates,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1178731.0,,40.7696272,44.6736646,24.0002488,53.9994829
2021,2021.0,Re-Export,Armenia,Ukraine,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3050.0,,40.7696272,44.6736646,49.4871968,31.2718321
