,rtTitle,ptTitle,rgDesc,TradeValue
0,United Arab Emirates,Afghanistan,Export,2229413566.0
1,United Arab Emirates,Afghanistan,Import,16476226.0
2,United Arab Emirates,Afghanistan,Re-Export,2115004609.0
3,United Arab Emirates,Algeria,Export,275482851.0
4,United Arab Emirates,Algeria,Import,34855046.0
5,United Arab Emirates,Algeria,Re-Export,174129884.0
6,United Arab Emirates,Armenia,Export,96822084.0
7,United Arab Emirates,Armenia,Import,1134265.0
8,United Arab Emirates,Armenia,Re-Export,93421132.0
9,United Arab Emirates,Azerbaijan,Export,285642458.0
10,United Arab Emirates,Azerbaijan,Import,1480647.0
11,United Arab Emirates,Azerbaijan,Re-Export,265760347.0
12,United Arab Emirates,Bahrain,Export,1781357460.0
13,United Arab Emirates,Bahrain,Import,555806614.0
14,United Arab Emirates,Bahrain,Re-Export,1575360392.0
15,United Arab Emirates,Comoros,Export,42739016.0
16,United Arab Emirates,Comoros,Import,2547863.0
17,United Arab Emirates,Comoros,Re-Export,34171672.0
18,United Arab Emirates,Cyprus,Export,33376825.0
19,United Arab Emirates,Cyprus,Import,15640493.0
20,United Arab Emirates,Cyprus,Re-Export,29185478.0
21,United Arab Emirates,Djibouti,Export,211323816.0
22,United Arab Emirates,Djibouti,Import,21632671.0
23,United Arab Emirates,Djibouti,Re-Export,176956497.0
24,United Arab Emirates,Fmr Sudan,Export,433229891.0
25,United Arab Emirates,Fmr Sudan,Import,1345586262.0
26,United Arab Emirates,Fmr Sudan,Re-Export,301648503.0
27,United Arab Emirates,Georgia,Export,48517298.0
28,United Arab Emirates,Georgia,Import,1587673.0
29,United Arab Emirates,Georgia,Re-Export,42505646.0
30,United Arab Emirates,Iraq,Export,4365823709.0
31,United Arab Emirates,Iraq,Import,1250416897.0
32,United Arab Emirates,Iraq,Re-Export,4097321575.0
33,United Arab Emirates,Jordan,Export,204772220.0
34,United Arab Emirates,Jordan,Import,209568381.0
35,United Arab Emirates,Jordan,Re-Export,158284916.0
36,United Arab Emirates,Kuwait,Export,1297614775.0
37,United Arab Emirates,Kuwait,Import,583014481.0
38,United Arab Emirates,Kuwait,Re-Export,928780105.0
39,United Arab Emirates,Lebanon,Export,364215640.0
40,United Arab Emirates,Lebanon,Import,291210470.0
41,United Arab Emirates,Lebanon,Re-Export,248968770.0
42,United Arab Emirates,Libya,Export,597958191.0
43,United Arab Emirates,Libya,Import,1039246503.0
44,United Arab Emirates,Libya,Re-Export,496293898.0
45,United Arab Emirates,Malta,Export,9951093.0
46,United Arab Emirates,Malta,Import,17711313.0
47,United Arab Emirates,Malta,Re-Export,4517448.0
48,United Arab Emirates,Mauritania,Export,66696125.0
49,United Arab Emirates,Mauritania,Import,53786248.0
50,United Arab Emirates,Mauritania,Re-Export,58882998.0
51,United Arab Emirates,Morocco,Export,165140401.0
52,United Arab Emirates,Morocco,Import,215302312.0
53,United Arab Emirates,Morocco,Re-Export,54776212.0
54,United Arab Emirates,Oman,Export,994038883.0
55,United Arab Emirates,Oman,Import,846818281.0
56,United Arab Emirates,Oman,Re-Export,683029483.0
57,United Arab Emirates,Pakistan,Export,717425789.0
58,United Arab Emirates,Pakistan,Import,1384338168.0
59,United Arab Emirates,Pakistan,Re-Export,489440381.0
60,United Arab Emirates,Qatar,Export,1647070902.0
61,United Arab Emirates,Qatar,Import,393774872.0
62,United Arab Emirates,Qatar,Re-Export,1234067206.0
63,United Arab Emirates,Saudi Arabia,Export,2136718155.0
64,United Arab Emirates,Saudi Arabia,Import,2820844607.0
65,United Arab Emirates,Saudi Arabia,Re-Export,1433466273.0
66,United Arab Emirates,State of Palestine,Export,1203324.0
67,United Arab Emirates,State of Palestine,Import,4269621.0
68,United Arab Emirates,State of Palestine,Re-Export,635112.0
69,United Arab Emirates,Syria,Export,118563774.0
70,United Arab Emirates,Syria,Import,93049187.0
71,United Arab Emirates,Syria,Re-Export,71217256.0
72,United Arab Emirates,Turkey,Export,297558019.0
73,United Arab Emirates,Turkey,Import,1478869652.0
74,United Arab Emirates,Turkey,Re-Export,141677481.0
75,United Arab Emirates,World,Export,194226216733.0
76,United Arab Emirates,World,Import,174244289497.0
77,United Arab Emirates,World,Re-Export,48892601049.0
78,United Arab Emirates,Yemen,Export,309514027.0
79,United Arab Emirates,Yemen,Import,343426297.0
80,United Arab Emirates,Yemen,Re-Export,134895641.0
