yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2008,2008.0,Re-Export,Qatar,World,11.0,Products of the milling industry; malt; starches; inulin,144859.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2008,2008.0,Re-Export,Qatar,Kuwait,11.0,Products of the milling industry; malt; starches; inulin,8269.0,,25.3336984,51.2295295,29.2733964,47.4979476
2008,2008.0,Re-Export,Qatar,Lebanon,11.0,Products of the milling industry; malt; starches; inulin,3731.0,,25.3336984,51.2295295,33.8750629,35.843409
2008,2008.0,Re-Export,Qatar,Oman,11.0,Products of the milling industry; malt; starches; inulin,34297.0,,25.3336984,51.2295295,21.0000287,57.0036901
2008,2008.0,Re-Export,Qatar,United Arab Emirates,11.0,Products of the milling industry; malt; starches; inulin,98562.0,,25.3336984,51.2295295,24.0002488,53.9994829
