yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2014,2014.0,Re-Import,Armenia,World,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",8607.0,,40.7696272,44.6736646,-36.8535712,174.7456809
2014,2014.0,Re-Import,Armenia,"Areas, nes",68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",8607.0,,40.7696272,44.6736646,,
