yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2013,2013.0,Re-Export,Pakistan,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4311668.0,,30.3308401,71.247499,-36.8535712,174.7456809
2013,2013.0,Re-Export,Pakistan,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",705426.0,,30.3308401,71.247499,35.000074,104.999927
2013,2013.0,Re-Export,Pakistan,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23152.0,,30.3308401,71.247499,51.1638175,10.4478313
2013,2013.0,Re-Export,Pakistan,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",148838.0,,30.3308401,71.247499,36.5748441,139.2394179
2013,2013.0,Re-Export,Pakistan,Oman,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",88027.0,,30.3308401,71.247499,21.0000287,57.0036901
2013,2013.0,Re-Export,Pakistan,Poland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",99726.0,,30.3308401,71.247499,52.215933,19.134422
2013,2013.0,Re-Export,Pakistan,Russian Federation,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1913.0,,30.3308401,71.247499,64.6863136,97.7453061
2013,2013.0,Re-Export,Pakistan,Saudi Arabia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",483.0,,30.3308401,71.247499,25.6242618,42.3528328
2013,2013.0,Re-Export,Pakistan,India,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",748.0,,30.3308401,71.247499,22.3511148,78.6677428
2013,2013.0,Re-Export,Pakistan,United Arab Emirates,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3228240.0,,30.3308401,71.247499,24.0002488,53.9994829
2013,2013.0,Re-Export,Pakistan,Turkey,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",457.0,,30.3308401,71.247499,38.9597594,34.9249653
2013,2013.0,Re-Export,Pakistan,United Kingdom,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14657.0,,30.3308401,71.247499,54.7023545,-3.2765753
