yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue_export,Unnamed: 0_export,rtLat,rtLon,ptLat,ptLon,mid,TradeValue_import,Unnamed: 0_import
2021.0,2021.0,Export,Cyprus,World,1.0,Animals; live,3636014.0,,34.9823018,33.1451285,-36.8535712,174.7456809,1.02021.0Cyprus,1470370.0,
2021.0,2021.0,Export,Cyprus,World,2.0,Meat and edible meat offal,12337203.0,,34.9823018,33.1451285,-36.8535712,174.7456809,2.02021.0Cyprus,81161813.0,
2021.0,2021.0,Export,Cyprus,World,3.0,"Fish and crustaceans, molluscs and other aquatic invertebrates",33885291.0,,34.9823018,33.1451285,-36.8535712,174.7456809,3.02021.0Cyprus,67046873.0,
2021.0,2021.0,Export,Cyprus,World,4.0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",316840818.0,,34.9823018,33.1451285,-36.8535712,174.7456809,4.02021.0Cyprus,98807356.0,
2021.0,2021.0,Export,Cyprus,World,5.0,Animal originated products; not elsewhere specified or included,3555798.0,,34.9823018,33.1451285,-36.8535712,174.7456809,5.02021.0Cyprus,1745534.0,
2021.0,2021.0,Export,Cyprus,World,6.0,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",241535.0,,34.9823018,33.1451285,-36.8535712,174.7456809,6.02021.0Cyprus,15659763.0,
2021.0,2021.0,Export,Cyprus,World,7.0,Vegetables and certain roots and tubers; edible,47951027.0,,34.9823018,33.1451285,-36.8535712,174.7456809,7.02021.0Cyprus,44644489.0,
2021.0,2021.0,Export,Cyprus,World,8.0,"Fruit and nuts, edible; peel of citrus fruit or melons",13751628.0,,34.9823018,33.1451285,-36.8535712,174.7456809,8.02021.0Cyprus,76949619.0,
2021.0,2021.0,Export,Cyprus,World,9.0,"Coffee, tea, mate and spices",1636033.0,,34.9823018,33.1451285,-36.8535712,174.7456809,9.02021.0Cyprus,31534309.0,
2021.0,2021.0,Export,Cyprus,World,10.0,Cereals,950940.0,,34.9823018,33.1451285,-36.8535712,174.7456809,10.02021.0Cyprus,181672696.0,
2021.0,2021.0,Export,Cyprus,World,11.0,"Products of the milling industry; malt, starches, inulin, wheat gluten",2528296.0,,34.9823018,33.1451285,-36.8535712,174.7456809,11.02021.0Cyprus,13535690.0,
2021.0,2021.0,Export,Cyprus,World,12.0,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",9614278.0,,34.9823018,33.1451285,-36.8535712,174.7456809,12.02021.0Cyprus,14487635.0,
2021.0,2021.0,Export,Cyprus,World,13.0,"Lac; gums, resins and other vegetable saps and extracts",1827588.0,,34.9823018,33.1451285,-36.8535712,174.7456809,13.02021.0Cyprus,2387334.0,
2021.0,2021.0,Export,Cyprus,World,14.0,Vegetable plaiting materials; vegetable products not elsewhere specified or included,16.0,,34.9823018,33.1451285,-36.8535712,174.7456809,14.02021.0Cyprus,115203.0,
2021.0,2021.0,Export,Cyprus,World,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,7498212.0,,34.9823018,33.1451285,-36.8535712,174.7456809,15.02021.0Cyprus,38109705.0,
2021.0,2021.0,Export,Cyprus,World,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",606103.0,,34.9823018,33.1451285,-36.8535712,174.7456809,16.02021.0Cyprus,52791888.0,
2021.0,2021.0,Export,Cyprus,World,17.0,Sugars and sugar confectionery,226589.0,,34.9823018,33.1451285,-36.8535712,174.7456809,17.02021.0Cyprus,24871908.0,
2021.0,2021.0,Export,Cyprus,World,18.0,Cocoa and cocoa preparations,1809467.0,,34.9823018,33.1451285,-36.8535712,174.7456809,18.02021.0Cyprus,37195058.0,
2021.0,2021.0,Export,Cyprus,World,19.0,"Preparations of cereals, flour, starch or milk; pastrycooks' products",6419656.0,,34.9823018,33.1451285,-36.8535712,174.7456809,19.02021.0Cyprus,112521586.0,
2021.0,2021.0,Export,Cyprus,World,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",37139055.0,,34.9823018,33.1451285,-36.8535712,174.7456809,20.02021.0Cyprus,65172650.0,
2021.0,2021.0,Export,Cyprus,World,21.0,Miscellaneous edible preparations,7207158.0,,34.9823018,33.1451285,-36.8535712,174.7456809,21.02021.0Cyprus,120174846.0,
2021.0,2021.0,Export,Cyprus,World,22.0,"Beverages, spirits and vinegar",26989408.0,,34.9823018,33.1451285,-36.8535712,174.7456809,22.02021.0Cyprus,187646945.0,
2021.0,2021.0,Export,Cyprus,World,23.0,"Food industries, residues and wastes thereof; prepared animal fodder",6790664.0,,34.9823018,33.1451285,-36.8535712,174.7456809,23.02021.0Cyprus,183222338.0,
2021.0,2021.0,Export,Cyprus,World,24.0,Tobacco and manufactured tobacco substitutes,41755500.0,,34.9823018,33.1451285,-36.8535712,174.7456809,24.02021.0Cyprus,115001988.0,
2021.0,2021.0,Export,Cyprus,World,26.0,"Ores, slag and ash",1637835.0,,34.9823018,33.1451285,-36.8535712,174.7456809,26.02021.0Cyprus,24752067.0,
2021.0,2021.0,Export,Cyprus,World,27.0,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",758691101.0,,34.9823018,33.1451285,-36.8535712,174.7456809,27.02021.0Cyprus,1858249127.0,
2021.0,2021.0,Export,Cyprus,World,28.0,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",676597.0,,34.9823018,33.1451285,-36.8535712,174.7456809,28.02021.0Cyprus,18319066.0,
2021.0,2021.0,Export,Cyprus,World,29.0,Organic chemicals,45795898.0,,34.9823018,33.1451285,-36.8535712,174.7456809,29.02021.0Cyprus,131353957.0,
2021.0,2021.0,Export,Cyprus,World,30.0,Pharmaceutical products,412383903.0,,34.9823018,33.1451285,-36.8535712,174.7456809,30.02021.0Cyprus,391878804.0,
2021.0,2021.0,Export,Cyprus,World,31.0,Fertilizers,916.0,,34.9823018,33.1451285,-36.8535712,174.7456809,31.02021.0Cyprus,23297196.0,
2021.0,2021.0,Export,Cyprus,World,32.0,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",3875195.0,,34.9823018,33.1451285,-36.8535712,174.7456809,32.02021.0Cyprus,61347962.0,
2021.0,2021.0,Export,Cyprus,World,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",145728119.0,,34.9823018,33.1451285,-36.8535712,174.7456809,33.02021.0Cyprus,183801971.0,
2021.0,2021.0,Export,Cyprus,World,34.0,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",2672236.0,,34.9823018,33.1451285,-36.8535712,174.7456809,34.02021.0Cyprus,64144491.0,
2021.0,2021.0,Export,Cyprus,World,35.0,Albuminoidal substances; modified starches; glues; enzymes,857104.0,,34.9823018,33.1451285,-36.8535712,174.7456809,35.02021.0Cyprus,10018801.0,
