yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2013,2013.0,Import,Lebanon,World,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,9377070.0,,33.8750629,35.843409,-36.8535712,174.7456809
2013,2013.0,Import,Lebanon,Belgium,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,509.0,,33.8750629,35.843409,50.6402809,4.6667145
2013,2013.0,Import,Lebanon,China,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2761925.0,,33.8750629,35.843409,35.000074,104.999927
2013,2013.0,Import,Lebanon,Czechia,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,32963.0,,33.8750629,35.843409,49.7439047,15.3381061
2013,2013.0,Import,Lebanon,Denmark,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,127.0,,33.8750629,35.843409,55.670249,10.3333283
2013,2013.0,Import,Lebanon,France,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2804153.0,,33.8750629,35.843409,46.603354,1.8883335
2013,2013.0,Import,Lebanon,Germany,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,35325.0,,33.8750629,35.843409,51.1638175,10.4478313
2013,2013.0,Import,Lebanon,Greece,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,166064.0,,33.8750629,35.843409,38.9953683,21.9877132
2013,2013.0,Import,Lebanon,Honduras,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,16451.0,,33.8750629,35.843409,15.2572432,-86.0755145
2013,2013.0,Import,Lebanon,Indonesia,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,24909.0,,33.8750629,35.843409,-2.4833826,117.8902853
2013,2013.0,Import,Lebanon,Italy,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1257109.0,,33.8750629,35.843409,42.6384261,12.674297
2013,2013.0,Import,Lebanon,Japan,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,35688.0,,33.8750629,35.843409,36.5748441,139.2394179
2013,2013.0,Import,Lebanon,Rep. of Korea,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,952.0,,33.8750629,35.843409,,
2013,2013.0,Import,Lebanon,Kuwait,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,95.0,,33.8750629,35.843409,29.2733964,47.4979476
2013,2013.0,Import,Lebanon,Netherlands,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,20742.0,,33.8750629,35.843409,52.2434979,5.6343227
2013,2013.0,Import,Lebanon,Pakistan,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,187676.0,,33.8750629,35.843409,30.3308401,71.247499
2013,2013.0,Import,Lebanon,Poland,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2355.0,,33.8750629,35.843409,52.215933,19.134422
2013,2013.0,Import,Lebanon,India,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1104737.0,,33.8750629,35.843409,22.3511148,78.6677428
2013,2013.0,Import,Lebanon,Spain,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,537360.0,,33.8750629,35.843409,39.3260685,-4.8379791
2013,2013.0,Import,Lebanon,Sweden,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,47761.0,,33.8750629,35.843409,59.6749712,14.5208584
2013,2013.0,Import,Lebanon,United Arab Emirates,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,154271.0,,33.8750629,35.843409,24.0002488,53.9994829
2013,2013.0,Import,Lebanon,Turkey,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,23239.0,,33.8750629,35.843409,38.9597594,34.9249653
2013,2013.0,Import,Lebanon,Egypt,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,3449.0,,33.8750629,35.843409,26.2540493,29.2675469
2013,2013.0,Import,Lebanon,United Kingdom,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,130739.0,,33.8750629,35.843409,54.7023545,-3.2765753
2013,2013.0,Import,Lebanon,USA,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,28471.0,,33.8750629,35.843409,39.7837304,-100.445882
