yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2013,2013.0,Export,Pakistan,World,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",750350.0,,30.3308401,71.247499,-36.8535712,174.7456809
2013,2013.0,Export,Pakistan,Afghanistan,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",350762.0,,30.3308401,71.247499,33.7680065,66.2385139
2013,2013.0,Export,Pakistan,Kuwait,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3399.0,,30.3308401,71.247499,29.2733964,47.4979476
2013,2013.0,Export,Pakistan,Malaysia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2317.0,,30.3308401,71.247499,4.5693754,102.2656823
2013,2013.0,Export,Pakistan,Oman,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",581.0,,30.3308401,71.247499,21.0000287,57.0036901
2013,2013.0,Export,Pakistan,Qatar,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",49005.0,,30.3308401,71.247499,25.3336984,51.2295295
2013,2013.0,Export,Pakistan,Saudi Arabia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",77441.0,,30.3308401,71.247499,25.6242618,42.3528328
2013,2013.0,Export,Pakistan,South Africa,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",178.0,,30.3308401,71.247499,-28.8166236,24.991639
2013,2013.0,Export,Pakistan,United Arab Emirates,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",102738.0,,30.3308401,71.247499,24.0002488,53.9994829
2013,2013.0,Export,Pakistan,United Kingdom,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2450.0,,30.3308401,71.247499,54.7023545,-3.2765753
2013,2013.0,Export,Pakistan,USA,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",161478.0,,30.3308401,71.247499,39.7837304,-100.445882
