yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2006,2006.0,Export,Qatar,World,81.0,Other base metals; cermets; articles thereof,30701.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2006,2006.0,Export,Qatar,Saudi Arabia,81.0,Other base metals; cermets; articles thereof,12651.0,,25.3336984,51.2295295,25.6242618,42.3528328
2006,2006.0,Export,Qatar,India,81.0,Other base metals; cermets; articles thereof,18051.0,,25.3336984,51.2295295,22.3511148,78.6677428
