yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2020,2020.0,Import,Morocco,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3997707788.0,,31.1728205,-7.3362482,-36.8535712,174.7456809
2020,2020.0,Import,Morocco,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",585699.0,,31.1728205,-7.3362482,-34.9964963,-64.9672817
2020,2020.0,Import,Morocco,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",30929.0,,31.1728205,-7.3362482,-24.7761086,134.755
2020,2020.0,Import,Morocco,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10212839.0,,31.1728205,-7.3362482,47.59397,14.12456
2020,2020.0,Import,Morocco,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20425522.0,,31.1728205,-7.3362482,50.6402809,4.6667145
2020,2020.0,Import,Morocco,Bolivia (Plurinational State of),87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",31.0,,31.1728205,-7.3362482,-17.0568696,-64.9912286
2020,2020.0,Import,Morocco,Bosnia Herzegovina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6766.0,,31.1728205,-7.3362482,44.3053476,17.5961467
2020,2020.0,Import,Morocco,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3145804.0,,31.1728205,-7.3362482,-10.3333333,-53.2
2020,2020.0,Import,Morocco,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",182308.0,,31.1728205,-7.3362482,42.6073975,25.4856617
2020,2020.0,Import,Morocco,Myanmar,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",201.0,,31.1728205,-7.3362482,17.1750495,95.9999652
2020,2020.0,Import,Morocco,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",58457.0,,31.1728205,-7.3362482,53.4250605,27.6971358
2020,2020.0,Import,Morocco,Cambodia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18668.0,,31.1728205,-7.3362482,12.5433216,104.8144914
2020,2020.0,Import,Morocco,Cameroon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",29.0,,31.1728205,-7.3362482,4.6125522,13.1535811
2020,2020.0,Import,Morocco,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1273512.0,,31.1728205,-7.3362482,61.0666922,-107.991707
2020,2020.0,Import,Morocco,Sri Lanka,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8848.0,,31.1728205,-7.3362482,7.5554942,80.7137847
2020,2020.0,Import,Morocco,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",244028099.0,,31.1728205,-7.3362482,35.000074,104.999927
2020,2020.0,Import,Morocco,Costa Rica,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",51.0,,31.1728205,-7.3362482,10.2735633,-84.0739102
2020,2020.0,Import,Morocco,Croatia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18527.0,,31.1728205,-7.3362482,45.5643442,17.0118954
2020,2020.0,Import,Morocco,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",97183816.0,,31.1728205,-7.3362482,49.7439047,15.3381061
2020,2020.0,Import,Morocco,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",999140.0,,31.1728205,-7.3362482,55.670249,10.3333283
2020,2020.0,Import,Morocco,Dominican Rep.,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4318.0,,31.1728205,-7.3362482,,
2020,2020.0,Import,Morocco,El Salvador,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",55.0,,31.1728205,-7.3362482,13.8000382,-88.9140683
2020,2020.0,Import,Morocco,Estonia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",16179.0,,31.1728205,-7.3362482,58.7523778,25.3319078
2020,2020.0,Import,Morocco,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",667065.0,,31.1728205,-7.3362482,63.2467777,25.9209164
2020,2020.0,Import,Morocco,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",884781393.0,,31.1728205,-7.3362482,46.603354,1.8883335
2020,2020.0,Import,Morocco,Georgia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",378.0,,31.1728205,-7.3362482,32.3293809,-83.1137366
2020,2020.0,Import,Morocco,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",489042501.0,,31.1728205,-7.3362482,51.1638175,10.4478313
2020,2020.0,Import,Morocco,Gibraltar,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",901390.0,,31.1728205,-7.3362482,36.1285933,-5.3474761
2020,2020.0,Import,Morocco,Greece,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1415349.0,,31.1728205,-7.3362482,38.9953683,21.9877132
2020,2020.0,Import,Morocco,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",38050.0,,31.1728205,-7.3362482,22.350627,114.1849161
2020,2020.0,Import,Morocco,Hungary,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",19062700.0,,31.1728205,-7.3362482,47.1817585,19.5060937
