yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2004,2004.0,Import,Lebanon,World,5.0,"Products of animal origin, not elsewhere specified",3150000.0,,33.8750629,35.843409,-36.8535712,174.7456809
2004,2004.0,Import,Lebanon,Azerbaijan,5.0,"Products of animal origin, not elsewhere specified",26000.0,,33.8750629,35.843409,40.3936294,47.7872508
2004,2004.0,Import,Lebanon,Bahrain,5.0,"Products of animal origin, not elsewhere specified",31000.0,,33.8750629,35.843409,26.1551249,50.5344606
2004,2004.0,Import,Lebanon,Armenia,5.0,"Products of animal origin, not elsewhere specified",20000.0,,33.8750629,35.843409,40.7696272,44.6736646
2004,2004.0,Import,Lebanon,Brazil,5.0,"Products of animal origin, not elsewhere specified",1000.0,,33.8750629,35.843409,-10.3333333,-53.2
2004,2004.0,Import,Lebanon,Canada,5.0,"Products of animal origin, not elsewhere specified",44000.0,,33.8750629,35.843409,61.0666922,-107.991707
2004,2004.0,Import,Lebanon,China,5.0,"Products of animal origin, not elsewhere specified",977000.0,,33.8750629,35.843409,35.000074,104.999927
2004,2004.0,Import,Lebanon,Cyprus,5.0,"Products of animal origin, not elsewhere specified",187000.0,,33.8750629,35.843409,34.9823018,33.1451285
2004,2004.0,Import,Lebanon,Denmark,5.0,"Products of animal origin, not elsewhere specified",35000.0,,33.8750629,35.843409,55.670249,10.3333283
2004,2004.0,Import,Lebanon,France,5.0,"Products of animal origin, not elsewhere specified",166000.0,,33.8750629,35.843409,46.603354,1.8883335
2004,2004.0,Import,Lebanon,Germany,5.0,"Products of animal origin, not elsewhere specified",50000.0,,33.8750629,35.843409,51.1638175,10.4478313
2004,2004.0,Import,Lebanon,Hungary,5.0,"Products of animal origin, not elsewhere specified",14000.0,,33.8750629,35.843409,47.1817585,19.5060937
2004,2004.0,Import,Lebanon,Iraq,5.0,"Products of animal origin, not elsewhere specified",53000.0,,33.8750629,35.843409,33.0955793,44.1749775
2004,2004.0,Import,Lebanon,Italy,5.0,"Products of animal origin, not elsewhere specified",21000.0,,33.8750629,35.843409,42.6384261,12.674297
2004,2004.0,Import,Lebanon,Japan,5.0,"Products of animal origin, not elsewhere specified",1000.0,,33.8750629,35.843409,36.5748441,139.2394179
2004,2004.0,Import,Lebanon,Jordan,5.0,"Products of animal origin, not elsewhere specified",141000.0,,33.8750629,35.843409,31.1667049,36.941628
2004,2004.0,Import,Lebanon,Kuwait,5.0,"Products of animal origin, not elsewhere specified",80000.0,,33.8750629,35.843409,29.2733964,47.4979476
2004,2004.0,Import,Lebanon,Libya,5.0,"Products of animal origin, not elsewhere specified",11000.0,,33.8750629,35.843409,26.8234472,18.1236723
2004,2004.0,Import,Lebanon,Mongolia,5.0,"Products of animal origin, not elsewhere specified",158000.0,,33.8750629,35.843409,46.8250388,103.8499736
2004,2004.0,Import,Lebanon,Oman,5.0,"Products of animal origin, not elsewhere specified",16000.0,,33.8750629,35.843409,21.0000287,57.0036901
2004,2004.0,Import,Lebanon,Netherlands,5.0,"Products of animal origin, not elsewhere specified",9000.0,,33.8750629,35.843409,52.2434979,5.6343227
2004,2004.0,Import,Lebanon,New Zealand,5.0,"Products of animal origin, not elsewhere specified",7000.0,,33.8750629,35.843409,-41.5000831,172.8344077
2004,2004.0,Import,Lebanon,Norway,5.0,"Products of animal origin, not elsewhere specified",30000.0,,33.8750629,35.843409,60.5000209,9.0999715
2004,2004.0,Import,Lebanon,Pakistan,5.0,"Products of animal origin, not elsewhere specified",5000.0,,33.8750629,35.843409,30.3308401,71.247499
2004,2004.0,Import,Lebanon,Poland,5.0,"Products of animal origin, not elsewhere specified",17000.0,,33.8750629,35.843409,52.215933,19.134422
2004,2004.0,Import,Lebanon,Qatar,5.0,"Products of animal origin, not elsewhere specified",55000.0,,33.8750629,35.843409,25.3336984,51.2295295
2004,2004.0,Import,Lebanon,Saudi Arabia,5.0,"Products of animal origin, not elsewhere specified",255000.0,,33.8750629,35.843409,25.6242618,42.3528328
2004,2004.0,Import,Lebanon,India,5.0,"Products of animal origin, not elsewhere specified",11000.0,,33.8750629,35.843409,22.3511148,78.6677428
2004,2004.0,Import,Lebanon,South Africa,5.0,"Products of animal origin, not elsewhere specified",148000.0,,33.8750629,35.843409,-28.8166236,24.991639
2004,2004.0,Import,Lebanon,Spain,5.0,"Products of animal origin, not elsewhere specified",4000.0,,33.8750629,35.843409,39.3260685,-4.8379791
2004,2004.0,Import,Lebanon,Fmr Sudan,5.0,"Products of animal origin, not elsewhere specified",8000.0,,33.8750629,35.843409,18.046398,34.41288
2004,2004.0,Import,Lebanon,Syria,5.0,"Products of animal origin, not elsewhere specified",35000.0,,33.8750629,35.843409,34.6401861,39.0494106
2004,2004.0,Import,Lebanon,Tajikistan,5.0,"Products of animal origin, not elsewhere specified",15000.0,,33.8750629,35.843409,38.6281733,70.8156541
2004,2004.0,Import,Lebanon,United Arab Emirates,5.0,"Products of animal origin, not elsewhere specified",135000.0,,33.8750629,35.843409,24.0002488,53.9994829
2004,2004.0,Import,Lebanon,Turkey,5.0,"Products of animal origin, not elsewhere specified",8000.0,,33.8750629,35.843409,38.9597594,34.9249653
2004,2004.0,Import,Lebanon,Egypt,5.0,"Products of animal origin, not elsewhere specified",3000.0,,33.8750629,35.843409,26.2540493,29.2675469
2004,2004.0,Import,Lebanon,Uzbekistan,5.0,"Products of animal origin, not elsewhere specified",373000.0,,33.8750629,35.843409,41.32373,63.9528098
