yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2017,2017.0,Export,Qatar,World,35.0,Albuminoidal substances; modified starches; glues; enzymes,297465.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017.0,Export,Qatar,Bahrain,35.0,Albuminoidal substances; modified starches; glues; enzymes,10989.0,,25.3336984,51.2295295,26.1551249,50.5344606
2017,2017.0,Export,Qatar,Brazil,35.0,Albuminoidal substances; modified starches; glues; enzymes,8514.0,,25.3336984,51.2295295,-10.3333333,-53.2
2017,2017.0,Export,Qatar,Germany,35.0,Albuminoidal substances; modified starches; glues; enzymes,478.0,,25.3336984,51.2295295,51.1638175,10.4478313
2017,2017.0,Export,Qatar,Kuwait,35.0,Albuminoidal substances; modified starches; glues; enzymes,58.0,,25.3336984,51.2295295,29.2733964,47.4979476
2017,2017.0,Export,Qatar,Malta,35.0,Albuminoidal substances; modified starches; glues; enzymes,1653.0,,25.3336984,51.2295295,35.8885993,14.4476911
2017,2017.0,Export,Qatar,Oman,35.0,Albuminoidal substances; modified starches; glues; enzymes,1687.0,,25.3336984,51.2295295,21.0000287,57.0036901
2017,2017.0,Export,Qatar,Netherlands,35.0,Albuminoidal substances; modified starches; glues; enzymes,5401.0,,25.3336984,51.2295295,52.2434979,5.6343227
2017,2017.0,Export,Qatar,Saudi Arabia,35.0,Albuminoidal substances; modified starches; glues; enzymes,180603.0,,25.3336984,51.2295295,25.6242618,42.3528328
2017,2017.0,Export,Qatar,Switzerland,35.0,Albuminoidal substances; modified starches; glues; enzymes,147.0,,25.3336984,51.2295295,46.7985624,8.2319736
2017,2017.0,Export,Qatar,United Arab Emirates,35.0,Albuminoidal substances; modified starches; glues; enzymes,82898.0,,25.3336984,51.2295295,24.0002488,53.9994829
2017,2017.0,Export,Qatar,USA,35.0,Albuminoidal substances; modified starches; glues; enzymes,5033.0,,25.3336984,51.2295295,39.7837304,-100.445882
