yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2020,2020.0,Import,Malta,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",9678098.0,,35.8885993,14.4476911,-36.8535712,174.7456809
2020,2020.0,Import,Malta,Angola,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1683.0,,35.8885993,14.4476911,-11.8775768,17.5691241
2020,2020.0,Import,Malta,Australia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",35798.0,,35.8885993,14.4476911,-24.7761086,134.755
2020,2020.0,Import,Malta,Austria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",19711.0,,35.8885993,14.4476911,47.59397,14.12456
2020,2020.0,Import,Malta,Bahrain,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",336.0,,35.8885993,14.4476911,26.1551249,50.5344606
2020,2020.0,Import,Malta,Belgium,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1234112.0,,35.8885993,14.4476911,50.6402809,4.6667145
2020,2020.0,Import,Malta,Bulgaria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1291.0,,35.8885993,14.4476911,42.6073975,25.4856617
2020,2020.0,Import,Malta,Belarus,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",205.0,,35.8885993,14.4476911,53.4250605,27.6971358
2020,2020.0,Import,Malta,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",110649.0,,35.8885993,14.4476911,61.0666922,-107.991707
2020,2020.0,Import,Malta,Chile,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",138.0,,35.8885993,14.4476911,-31.7613365,-71.3187697
2020,2020.0,Import,Malta,China,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1196315.0,,35.8885993,14.4476911,35.000074,104.999927
2020,2020.0,Import,Malta,Colombia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",540.0,,35.8885993,14.4476911,4.099917,-72.9088133
2020,2020.0,Import,Malta,Cyprus,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",237.0,,35.8885993,14.4476911,34.9823018,33.1451285
2020,2020.0,Import,Malta,Czechia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",27195.0,,35.8885993,14.4476911,49.7439047,15.3381061
2020,2020.0,Import,Malta,Denmark,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",27226.0,,35.8885993,14.4476911,55.670249,10.3333283
2020,2020.0,Import,Malta,Fiji,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",464.0,,35.8885993,14.4476911,-18.1239696,179.0122737
2020,2020.0,Import,Malta,Finland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",58.0,,35.8885993,14.4476911,63.2467777,25.9209164
2020,2020.0,Import,Malta,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",203288.0,,35.8885993,14.4476911,46.603354,1.8883335
2020,2020.0,Import,Malta,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1073327.0,,35.8885993,14.4476911,51.1638175,10.4478313
2020,2020.0,Import,Malta,Greece,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",44772.0,,35.8885993,14.4476911,38.9953683,21.9877132
2020,2020.0,Import,Malta,"China, Hong Kong SAR",82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",195194.0,,35.8885993,14.4476911,22.350627,114.1849161
2020,2020.0,Import,Malta,Hungary,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",10.0,,35.8885993,14.4476911,47.1817585,19.5060937
2020,2020.0,Import,Malta,Israel,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",14147.0,,35.8885993,14.4476911,30.8124247,34.8594762
2020,2020.0,Import,Malta,Italy,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2029043.0,,35.8885993,14.4476911,42.6384261,12.674297
2020,2020.0,Import,Malta,Japan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",30016.0,,35.8885993,14.4476911,36.5748441,139.2394179
2020,2020.0,Import,Malta,Jordan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",313.0,,35.8885993,14.4476911,31.1667049,36.941628
