yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue_export,Unnamed: 0_export,rtLat,rtLon,ptLat,ptLon,mid,TradeValue_import,Unnamed: 0_import
2020.0,2020.0,Export,Azerbaijan,World,37.0,Photographic or cinematographic goods,2062.0,,40.3936294,47.7872508,-36.8535712,174.7456809,37.02020.0Azerbaijan,2706075.0,
2020.0,2020.0,Export,Azerbaijan,World,38.0,Chemical products n.e.c.,3501924.0,,40.3936294,47.7872508,-36.8535712,174.7456809,38.02020.0Azerbaijan,180527331.0,
2020.0,2020.0,Export,Azerbaijan,World,39.0,Plastics and articles thereof,164627614.0,,40.3936294,47.7872508,-36.8535712,174.7456809,39.02020.0Azerbaijan,346015127.0,
2020.0,2020.0,Export,Azerbaijan,World,40.0,Rubber and articles thereof,1042892.0,,40.3936294,47.7872508,-36.8535712,174.7456809,40.02020.0Azerbaijan,117528156.0,
2020.0,2020.0,Export,Azerbaijan,World,41.0,Raw hides and skins (other than furskins) and leather,8333148.0,,40.3936294,47.7872508,-36.8535712,174.7456809,41.02020.0Azerbaijan,429420.0,
2020.0,2020.0,Export,Azerbaijan,World,42.0,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",66932.0,,40.3936294,47.7872508,-36.8535712,174.7456809,42.02020.0Azerbaijan,16785526.0,
2020.0,2020.0,Export,Azerbaijan,World,44.0,Wood and articles of wood; wood charcoal,762358.0,,40.3936294,47.7872508,-36.8535712,174.7456809,44.02020.0Azerbaijan,258225562.0,
2020.0,2020.0,Export,Azerbaijan,World,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",38.0,,40.3936294,47.7872508,-36.8535712,174.7456809,46.02020.0Azerbaijan,223593.0,
2020.0,2020.0,Export,Azerbaijan,World,47.0,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,100.0,,40.3936294,47.7872508,-36.8535712,174.7456809,47.02020.0Azerbaijan,207006.0,
2020.0,2020.0,Export,Azerbaijan,World,48.0,"Paper and paperboard; articles of paper pulp, of paper or paperboard",2311330.0,,40.3936294,47.7872508,-36.8535712,174.7456809,48.02020.0Azerbaijan,166484632.0,
2020.0,2020.0,Export,Azerbaijan,World,49.0,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",2124474.0,,40.3936294,47.7872508,-36.8535712,174.7456809,49.02020.0Azerbaijan,28847970.0,
2020.0,2020.0,Export,Azerbaijan,World,50.0,Silk,1100382.0,,40.3936294,47.7872508,-36.8535712,174.7456809,50.02020.0Azerbaijan,42937.0,
2020.0,2020.0,Export,Azerbaijan,World,51.0,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",5586.0,,40.3936294,47.7872508,-36.8535712,174.7456809,51.02020.0Azerbaijan,888461.0,
