yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2018,2018.0,Import,Afghanistan,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",368233924.0,,33.7680065,66.2385139,-36.8535712,174.7456809
2018,2018.0,Import,Afghanistan,American Samoa,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2103148.0,,33.7680065,66.2385139,-14.297124,-170.7131481
2018,2018.0,Import,Afghanistan,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5795.0,,33.7680065,66.2385139,47.59397,14.12456
2018,2018.0,Import,Afghanistan,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",35991.0,,33.7680065,66.2385139,50.6402809,4.6667145
2018,2018.0,Import,Afghanistan,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4231991.0,,33.7680065,66.2385139,53.4250605,27.6971358
2018,2018.0,Import,Afghanistan,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9345884.0,,33.7680065,66.2385139,61.0666922,-107.991707
2018,2018.0,Import,Afghanistan,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",27091913.0,,33.7680065,66.2385139,35.000074,104.999927
2018,2018.0,Import,Afghanistan,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",36.0,,33.7680065,66.2385139,49.7439047,15.3381061
2018,2018.0,Import,Afghanistan,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5336.0,,33.7680065,66.2385139,55.670249,10.3333283
2018,2018.0,Import,Afghanistan,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",52857.0,,33.7680065,66.2385139,46.603354,1.8883335
2018,2018.0,Import,Afghanistan,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",41101204.0,,33.7680065,66.2385139,51.1638175,10.4478313
2018,2018.0,Import,Afghanistan,Greece,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",513.0,,33.7680065,66.2385139,38.9953683,21.9877132
2018,2018.0,Import,Afghanistan,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1311.0,,33.7680065,66.2385139,22.350627,114.1849161
2018,2018.0,Import,Afghanistan,Hungary,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",257.0,,33.7680065,66.2385139,47.1817585,19.5060937
2018,2018.0,Import,Afghanistan,Indonesia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14973.0,,33.7680065,66.2385139,-2.4833826,117.8902853
2018,2018.0,Import,Afghanistan,Iran,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10089733.0,,33.7680065,66.2385139,32.6475314,54.5643516
2018,2018.0,Import,Afghanistan,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",210086.0,,33.7680065,66.2385139,42.6384261,12.674297
2018,2018.0,Import,Afghanistan,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",227374624.0,,33.7680065,66.2385139,36.5748441,139.2394179
2018,2018.0,Import,Afghanistan,Rep. of Korea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12629017.0,,33.7680065,66.2385139,,
2018,2018.0,Import,Afghanistan,Lebanon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",564251.0,,33.7680065,66.2385139,33.8750629,35.843409
2018,2018.0,Import,Afghanistan,"Other Asia, nes",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",910563.0,,33.7680065,66.2385139,,
2018,2018.0,Import,Afghanistan,Netherlands,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",106823.0,,33.7680065,66.2385139,52.2434979,5.6343227
2018,2018.0,Import,Afghanistan,Norway,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23901.0,,33.7680065,66.2385139,60.5000209,9.0999715
2018,2018.0,Import,Afghanistan,Pakistan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2725987.0,,33.7680065,66.2385139,30.3308401,71.247499
2018,2018.0,Import,Afghanistan,Poland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",323.0,,33.7680065,66.2385139,52.215933,19.134422
2018,2018.0,Import,Afghanistan,Portugal,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4462.0,,33.7680065,66.2385139,39.6621648,-8.1353519
2018,2018.0,Import,Afghanistan,Romania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1739.0,,33.7680065,66.2385139,45.9852129,24.6859225
2018,2018.0,Import,Afghanistan,Russian Federation,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4332689.0,,33.7680065,66.2385139,64.6863136,97.7453061
2018,2018.0,Import,Afghanistan,India,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7528525.0,,33.7680065,66.2385139,22.3511148,78.6677428
2018,2018.0,Import,Afghanistan,Singapore,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",49.0,,33.7680065,66.2385139,1.357107,103.8194992
2018,2018.0,Import,Afghanistan,Sudan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",54910.0,,33.7680065,66.2385139,14.5844444,29.4917691
2018,2018.0,Import,Afghanistan,Eswatini,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",425.0,,33.7680065,66.2385139,-26.5624806,31.3991317
2018,2018.0,Import,Afghanistan,Sweden,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",159600.0,,33.7680065,66.2385139,59.6749712,14.5208584
2018,2018.0,Import,Afghanistan,Switzerland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12947.0,,33.7680065,66.2385139,46.7985624,8.2319736
2018,2018.0,Import,Afghanistan,Tajikistan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",96845.0,,33.7680065,66.2385139,38.6281733,70.8156541
