yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2009,2009.0,Export,Comoros,World,19.0,"Preparations of cereals, flour, starch or milk; bakers' wares",70.0,,-12.2045176,44.2832964,-36.8535712,174.7456809
2009,2009.0,Export,Comoros,United Rep. of Tanzania,19.0,"Preparations of cereals, flour, starch or milk; bakers' wares",70.0,,-12.2045176,44.2832964,,
