yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2014,2014.0,Import,Kuwait,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4960654512.0,,29.2733964,47.4979476,-36.8535712,174.7456809
2014,2014.0,Import,Kuwait,Algeria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",549.0,,29.2733964,47.4979476,28.0000272,2.9999825
2014,2014.0,Import,Kuwait,American Samoa,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1344.0,,29.2733964,47.4979476,-14.297124,-170.7131481
2014,2014.0,Import,Kuwait,Antigua and Barbuda,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4611.0,,29.2733964,47.4979476,17.2234721,-61.9554608
2014,2014.0,Import,Kuwait,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",164797.0,,29.2733964,47.4979476,-34.9964963,-64.9672817
2014,2014.0,Import,Kuwait,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",166479767.0,,29.2733964,47.4979476,-24.7761086,134.755
2014,2014.0,Import,Kuwait,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",35982897.0,,29.2733964,47.4979476,47.59397,14.12456
2014,2014.0,Import,Kuwait,Bahrain,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",21186098.0,,29.2733964,47.4979476,26.1551249,50.5344606
2014,2014.0,Import,Kuwait,Bangladesh,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5355.0,,29.2733964,47.4979476,24.4769288,90.2934413
2014,2014.0,Import,Kuwait,Barbados,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1641.0,,29.2733964,47.4979476,13.1500331,-59.5250305
2014,2014.0,Import,Kuwait,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8974516.0,,29.2733964,47.4979476,50.6402809,4.6667145
2014,2014.0,Import,Kuwait,Bosnia Herzegovina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12216.0,,29.2733964,47.4979476,44.3053476,17.5961467
2014,2014.0,Import,Kuwait,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2493728.0,,29.2733964,47.4979476,-10.3333333,-53.2
2014,2014.0,Import,Kuwait,Belize,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",34280.0,,29.2733964,47.4979476,16.8259793,-88.7600927
2014,2014.0,Import,Kuwait,Brunei Darussalam,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",56.0,,29.2733964,47.4979476,4.4137155,114.5653908
2014,2014.0,Import,Kuwait,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",80209.0,,29.2733964,47.4979476,42.6073975,25.4856617
2014,2014.0,Import,Kuwait,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",962899.0,,29.2733964,47.4979476,53.4250605,27.6971358
2014,2014.0,Import,Kuwait,Cambodia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1129.0,,29.2733964,47.4979476,12.5433216,104.8144914
2014,2014.0,Import,Kuwait,Cameroon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",55988.0,,29.2733964,47.4979476,4.6125522,13.1535811
