yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2018,2018.0,Import,Comoros,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",49134966.0,,-12.2045176,44.2832964,-36.8535712,174.7456809
2018,2018.0,Import,Comoros,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",143.0,,-12.2045176,44.2832964,-24.7761086,134.755
2018,2018.0,Import,Comoros,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",47726.0,,-12.2045176,44.2832964,50.6402809,4.6667145
2018,2018.0,Import,Comoros,Brunei Darussalam,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1119.0,,-12.2045176,44.2832964,4.4137155,114.5653908
2018,2018.0,Import,Comoros,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",394.0,,-12.2045176,44.2832964,61.0666922,-107.991707
2018,2018.0,Import,Comoros,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2487270.0,,-12.2045176,44.2832964,35.000074,104.999927
2018,2018.0,Import,Comoros,Ecuador,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",761.0,,-12.2045176,44.2832964,-1.3397668,-79.3666965
2018,2018.0,Import,Comoros,Eritrea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",965.0,,-12.2045176,44.2832964,15.9500319,37.9999668
2018,2018.0,Import,Comoros,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11448608.0,,-12.2045176,44.2832964,46.603354,1.8883335
2018,2018.0,Import,Comoros,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",64927.0,,-12.2045176,44.2832964,51.1638175,10.4478313
2018,2018.0,Import,Comoros,Gibraltar,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",33788.0,,-12.2045176,44.2832964,36.1285933,-5.3474761
2018,2018.0,Import,Comoros,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3590.0,,-12.2045176,44.2832964,42.6384261,12.674297
2018,2018.0,Import,Comoros,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2970802.0,,-12.2045176,44.2832964,36.5748441,139.2394179
2018,2018.0,Import,Comoros,Kenya,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",29352.0,,-12.2045176,44.2832964,1.4419683,38.4313975
2018,2018.0,Import,Comoros,Dem. People's Rep. of Korea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3590.0,,-12.2045176,44.2832964,,
2018,2018.0,Import,Comoros,Rep. of Korea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",104590.0,,-12.2045176,44.2832964,,
2018,2018.0,Import,Comoros,Madagascar,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2467537.0,,-12.2045176,44.2832964,-18.9249604,46.4416422
2018,2018.0,Import,Comoros,Malaysia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1609.0,,-12.2045176,44.2832964,4.5693754,102.2656823
2018,2018.0,Import,Comoros,Malta,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3831.0,,-12.2045176,44.2832964,35.8885993,14.4476911
2018,2018.0,Import,Comoros,Mauritius,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",97857.0,,-12.2045176,44.2832964,-20.2759451,57.5703566
2018,2018.0,Import,Comoros,Netherlands,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4188.0,,-12.2045176,44.2832964,52.2434979,5.6343227
2018,2018.0,Import,Comoros,Saudi Arabia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",57931.0,,-12.2045176,44.2832964,25.6242618,42.3528328
2018,2018.0,Import,Comoros,India,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8517.0,,-12.2045176,44.2832964,22.3511148,78.6677428
2018,2018.0,Import,Comoros,Slovakia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",31152.0,,-12.2045176,44.2832964,48.7411522,19.4528646
2018,2018.0,Import,Comoros,South Africa,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",28789.0,,-12.2045176,44.2832964,-28.8166236,24.991639
2018,2018.0,Import,Comoros,Sweden,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",109837.0,,-12.2045176,44.2832964,59.6749712,14.5208584
2018,2018.0,Import,Comoros,Thailand,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",167411.0,,-12.2045176,44.2832964,14.8971921,100.83273
2018,2018.0,Import,Comoros,United Arab Emirates,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",28758506.0,,-12.2045176,44.2832964,24.0002488,53.9994829
2018,2018.0,Import,Comoros,Turkey,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20346.0,,-12.2045176,44.2832964,38.9597594,34.9249653
2018,2018.0,Import,Comoros,Turks and Caicos Isds,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14640.0,,-12.2045176,44.2832964,,
2018,2018.0,Import,Comoros,Egypt,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",40.0,,-12.2045176,44.2832964,26.2540493,29.2675469
2018,2018.0,Import,Comoros,United Kingdom,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3171.0,,-12.2045176,44.2832964,54.7023545,-3.2765753
2018,2018.0,Import,Comoros,United Rep. of Tanzania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",79189.0,,-12.2045176,44.2832964,,
2018,2018.0,Import,Comoros,USA,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",68411.0,,-12.2045176,44.2832964,39.7837304,-100.445882
2018,2018.0,Import,Comoros,Yemen,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14362.0,,-12.2045176,44.2832964,16.3471243,47.8915271
