yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2014,2014.0,Import,Morocco,World,4.0,Dairy produce; birds eggs; natural honey;,377072095.0,,31.1728205,-7.3362482,-36.8535712,174.7456809
2014,2014.0,Import,Morocco,Argentina,4.0,Dairy produce; birds eggs; natural honey;,1330065.0,,31.1728205,-7.3362482,-34.9964963,-64.9672817
2014,2014.0,Import,Morocco,Australia,4.0,Dairy produce; birds eggs; natural honey;,4681587.0,,31.1728205,-7.3362482,-24.7761086,134.755
2014,2014.0,Import,Morocco,Austria,4.0,Dairy produce; birds eggs; natural honey;,1907837.0,,31.1728205,-7.3362482,47.59397,14.12456
2014,2014.0,Import,Morocco,Belgium,4.0,Dairy produce; birds eggs; natural honey;,22594134.0,,31.1728205,-7.3362482,50.6402809,4.6667145
2014,2014.0,Import,Morocco,Brazil,4.0,Dairy produce; birds eggs; natural honey;,135.0,,31.1728205,-7.3362482,-10.3333333,-53.2
2014,2014.0,Import,Morocco,Canada,4.0,Dairy produce; birds eggs; natural honey;,1011117.0,,31.1728205,-7.3362482,61.0666922,-107.991707
2014,2014.0,Import,Morocco,Chile,4.0,Dairy produce; birds eggs; natural honey;,697876.0,,31.1728205,-7.3362482,-31.7613365,-71.3187697
2014,2014.0,Import,Morocco,China,4.0,Dairy produce; birds eggs; natural honey;,2277827.0,,31.1728205,-7.3362482,35.000074,104.999927
2014,2014.0,Import,Morocco,Denmark,4.0,Dairy produce; birds eggs; natural honey;,14416.0,,31.1728205,-7.3362482,55.670249,10.3333283
2014,2014.0,Import,Morocco,Estonia,4.0,Dairy produce; birds eggs; natural honey;,944795.0,,31.1728205,-7.3362482,58.7523778,25.3319078
2014,2014.0,Import,Morocco,France,4.0,Dairy produce; birds eggs; natural honey;,50339083.0,,31.1728205,-7.3362482,46.603354,1.8883335
2014,2014.0,Import,Morocco,Germany,4.0,Dairy produce; birds eggs; natural honey;,11258188.0,,31.1728205,-7.3362482,51.1638175,10.4478313
2014,2014.0,Import,Morocco,Greece,4.0,Dairy produce; birds eggs; natural honey;,791.0,,31.1728205,-7.3362482,38.9953683,21.9877132
2014,2014.0,Import,Morocco,Iran,4.0,Dairy produce; birds eggs; natural honey;,113.0,,31.1728205,-7.3362482,32.6475314,54.5643516
2014,2014.0,Import,Morocco,Ireland,4.0,Dairy produce; birds eggs; natural honey;,11026625.0,,31.1728205,-7.3362482,52.865196,-7.9794599
2014,2014.0,Import,Morocco,Italy,4.0,Dairy produce; birds eggs; natural honey;,629251.0,,31.1728205,-7.3362482,42.6384261,12.674297
2014,2014.0,Import,Morocco,Jordan,4.0,Dairy produce; birds eggs; natural honey;,6812.0,,31.1728205,-7.3362482,31.1667049,36.941628
2014,2014.0,Import,Morocco,Lebanon,4.0,Dairy produce; birds eggs; natural honey;,2108.0,,31.1728205,-7.3362482,33.8750629,35.843409
2014,2014.0,Import,Morocco,Latvia,4.0,Dairy produce; birds eggs; natural honey;,817243.0,,31.1728205,-7.3362482,56.8406494,24.7537645
2014,2014.0,Import,Morocco,Lithuania,4.0,Dairy produce; birds eggs; natural honey;,7110046.0,,31.1728205,-7.3362482,55.3500003,23.7499997
2014,2014.0,Import,Morocco,Malaysia,4.0,Dairy produce; birds eggs; natural honey;,49.0,,31.1728205,-7.3362482,4.5693754,102.2656823
2014,2014.0,Import,Morocco,Mexico,4.0,Dairy produce; birds eggs; natural honey;,91095.0,,31.1728205,-7.3362482,23.6585116,-102.0077097
2014,2014.0,Import,Morocco,Netherlands,4.0,Dairy produce; birds eggs; natural honey;,54056965.0,,31.1728205,-7.3362482,52.2434979,5.6343227
2014,2014.0,Import,Morocco,New Zealand,4.0,Dairy produce; birds eggs; natural honey;,60535256.0,,31.1728205,-7.3362482,-41.5000831,172.8344077
