yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2012,2012.0,Import,Bahrain,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",19648571.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2012,2012.0,Import,Bahrain,Antarctica,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",5005.0,,26.1551249,50.5344606,-79.4063075,0.3149312
2012,2012.0,Import,Bahrain,Argentina,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",3715.0,,26.1551249,50.5344606,-34.9964963,-64.9672817
2012,2012.0,Import,Bahrain,Australia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",13737.0,,26.1551249,50.5344606,-24.7761086,134.755
2012,2012.0,Import,Bahrain,Austria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",178699.0,,26.1551249,50.5344606,47.59397,14.12456
2012,2012.0,Import,Bahrain,Bahrain,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1697.0,,26.1551249,50.5344606,26.1551249,50.5344606
2012,2012.0,Import,Bahrain,Belgium,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",15750.0,,26.1551249,50.5344606,50.6402809,4.6667145
2012,2012.0,Import,Bahrain,Bosnia Herzegovina,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",106.0,,26.1551249,50.5344606,44.3053476,17.5961467
2012,2012.0,Import,Bahrain,Brazil,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",806847.0,,26.1551249,50.5344606,-10.3333333,-53.2
2012,2012.0,Import,Bahrain,Bulgaria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",37410.0,,26.1551249,50.5344606,42.6073975,25.4856617
2012,2012.0,Import,Bahrain,Belarus,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",324.0,,26.1551249,50.5344606,53.4250605,27.6971358
2012,2012.0,Import,Bahrain,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",118064.0,,26.1551249,50.5344606,61.0666922,-107.991707
2012,2012.0,Import,Bahrain,Chile,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2082.0,,26.1551249,50.5344606,-31.7613365,-71.3187697
2012,2012.0,Import,Bahrain,China,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",4145190.0,,26.1551249,50.5344606,35.000074,104.999927
2012,2012.0,Import,Bahrain,Colombia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",85.0,,26.1551249,50.5344606,4.099917,-72.9088133
2012,2012.0,Import,Bahrain,Cyprus,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2782.0,,26.1551249,50.5344606,34.9823018,33.1451285
2012,2012.0,Import,Bahrain,Czechia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",72965.0,,26.1551249,50.5344606,49.7439047,15.3381061
2012,2012.0,Import,Bahrain,Denmark,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",19660.0,,26.1551249,50.5344606,55.670249,10.3333283
