yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2012,2012.0,Import,Jordan,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1051373581.0,,31.1667049,36.941628,-36.8535712,174.7456809
2012,2012.0,Import,Jordan,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",428942.0,,31.1667049,36.941628,-34.9964963,-64.9672817
2012,2012.0,Import,Jordan,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",953582.0,,31.1667049,36.941628,-24.7761086,134.755
2012,2012.0,Import,Jordan,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13160770.0,,31.1667049,36.941628,47.59397,14.12456
2012,2012.0,Import,Jordan,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2185789.0,,31.1667049,36.941628,50.6402809,4.6667145
2012,2012.0,Import,Jordan,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2083182.0,,31.1667049,36.941628,-10.3333333,-53.2
2012,2012.0,Import,Jordan,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10360660.0,,31.1667049,36.941628,61.0666922,-107.991707
2012,2012.0,Import,Jordan,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",25857983.0,,31.1667049,36.941628,35.000074,104.999927
2012,2012.0,Import,Jordan,Congo,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",31004.0,,31.1667049,36.941628,-2.9814344,23.8222636
2012,2012.0,Import,Jordan,Cyprus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",252.0,,31.1667049,36.941628,34.9823018,33.1451285
2012,2012.0,Import,Jordan,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",902683.0,,31.1667049,36.941628,49.7439047,15.3381061
2012,2012.0,Import,Jordan,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4785.0,,31.1667049,36.941628,55.670249,10.3333283
2012,2012.0,Import,Jordan,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3693.0,,31.1667049,36.941628,63.2467777,25.9209164
2012,2012.0,Import,Jordan,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10412202.0,,31.1667049,36.941628,46.603354,1.8883335
