yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Re-Export,Oman,World,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",19526466.0,,21.0000287,57.0036901,-36.8535712,174.7456809
2016,2016.0,Re-Export,Oman,Bahrain,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",239271.0,,21.0000287,57.0036901,26.1551249,50.5344606
2016,2016.0,Re-Export,Oman,Canada,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",46.0,,21.0000287,57.0036901,61.0666922,-107.991707
2016,2016.0,Re-Export,Oman,"China, Hong Kong SAR",68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",19505.0,,21.0000287,57.0036901,22.350627,114.1849161
2016,2016.0,Re-Export,Oman,Iran,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",33357.0,,21.0000287,57.0036901,32.6475314,54.5643516
2016,2016.0,Re-Export,Oman,Iraq,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",53836.0,,21.0000287,57.0036901,33.0955793,44.1749775
2016,2016.0,Re-Export,Oman,Jamaica,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",665799.0,,21.0000287,57.0036901,18.1850507,-77.3947693
2016,2016.0,Re-Export,Oman,Jordan,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",67620.0,,21.0000287,57.0036901,31.1667049,36.941628
2016,2016.0,Re-Export,Oman,Rep. of Korea,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",228.0,,21.0000287,57.0036901,,
2016,2016.0,Re-Export,Oman,Kuwait,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",65035.0,,21.0000287,57.0036901,29.2733964,47.4979476
2016,2016.0,Re-Export,Oman,Philippines,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",260.0,,21.0000287,57.0036901,12.7503486,122.7312101
2016,2016.0,Re-Export,Oman,Saudi Arabia,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1430429.0,,21.0000287,57.0036901,25.6242618,42.3528328
2016,2016.0,Re-Export,Oman,India,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",252.0,,21.0000287,57.0036901,22.3511148,78.6677428
2016,2016.0,Re-Export,Oman,Singapore,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",33810.0,,21.0000287,57.0036901,1.357107,103.8194992
2016,2016.0,Re-Export,Oman,Somalia,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",219877.0,,21.0000287,57.0036901,8.3676771,49.083416
2016,2016.0,Re-Export,Oman,United Arab Emirates,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",14998955.0,,21.0000287,57.0036901,24.0002488,53.9994829
2016,2016.0,Re-Export,Oman,Turkey,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",33862.0,,21.0000287,57.0036901,38.9597594,34.9249653
2016,2016.0,Re-Export,Oman,United Rep. of Tanzania,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",124837.0,,21.0000287,57.0036901,,
2016,2016.0,Re-Export,Oman,USA,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",5071.0,,21.0000287,57.0036901,39.7837304,-100.445882
2016,2016.0,Re-Export,Oman,"Areas, nes",68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1534408.0,,21.0000287,57.0036901,,
