yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Import,Oman,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2497420503.0,,21.0000287,57.0036901,-36.8535712,174.7456809
2016,2016.0,Import,Oman,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",140720.0,,21.0000287,57.0036901,-34.9964963,-64.9672817
2016,2016.0,Import,Oman,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",19867790.0,,21.0000287,57.0036901,-24.7761086,134.755
2016,2016.0,Import,Oman,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13917462.0,,21.0000287,57.0036901,47.59397,14.12456
2016,2016.0,Import,Oman,Bahrain,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",262.0,,21.0000287,57.0036901,26.1551249,50.5344606
2016,2016.0,Import,Oman,Bangladesh,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14002.0,,21.0000287,57.0036901,24.4769288,90.2934413
2016,2016.0,Import,Oman,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5413502.0,,21.0000287,57.0036901,50.6402809,4.6667145
2016,2016.0,Import,Oman,Bosnia Herzegovina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",327.0,,21.0000287,57.0036901,44.3053476,17.5961467
2016,2016.0,Import,Oman,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7296836.0,,21.0000287,57.0036901,-10.3333333,-53.2
2016,2016.0,Import,Oman,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7986.0,,21.0000287,57.0036901,42.6073975,25.4856617
2016,2016.0,Import,Oman,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",33166311.0,,21.0000287,57.0036901,61.0666922,-107.991707
2016,2016.0,Import,Oman,Sri Lanka,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6351.0,,21.0000287,57.0036901,7.5554942,80.7137847
2016,2016.0,Import,Oman,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",86353277.0,,21.0000287,57.0036901,35.000074,104.999927
2016,2016.0,Import,Oman,Costa Rica,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10465.0,,21.0000287,57.0036901,10.2735633,-84.0739102
2016,2016.0,Import,Oman,Croatia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",36.0,,21.0000287,57.0036901,45.5643442,17.0118954
2016,2016.0,Import,Oman,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",39669842.0,,21.0000287,57.0036901,49.7439047,15.3381061
2016,2016.0,Import,Oman,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",221037.0,,21.0000287,57.0036901,55.670249,10.3333283
2016,2016.0,Import,Oman,Dominican Rep.,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23.0,,21.0000287,57.0036901,,
2016,2016.0,Import,Oman,Estonia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",148.0,,21.0000287,57.0036901,58.7523778,25.3319078
2016,2016.0,Import,Oman,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1026998.0,,21.0000287,57.0036901,63.2467777,25.9209164
2016,2016.0,Import,Oman,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14258365.0,,21.0000287,57.0036901,46.603354,1.8883335
2016,2016.0,Import,Oman,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",234677461.0,,21.0000287,57.0036901,51.1638175,10.4478313
2016,2016.0,Import,Oman,Greece,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",165828.0,,21.0000287,57.0036901,38.9953683,21.9877132
