yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2011,2011.0,Export,Qatar,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",4995826.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2011,2011.0,Export,Qatar,Australia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",32845.0,,25.3336984,51.2295295,-24.7761086,134.755
2011,2011.0,Export,Qatar,Austria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",97704.0,,25.3336984,51.2295295,47.59397,14.12456
2011,2011.0,Export,Qatar,Bahrain,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",214114.0,,25.3336984,51.2295295,26.1551249,50.5344606
2011,2011.0,Export,Qatar,Brazil,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",9070.0,,25.3336984,51.2295295,-10.3333333,-53.2
2011,2011.0,Export,Qatar,Brunei Darussalam,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",30733.0,,25.3336984,51.2295295,4.4137155,114.5653908
2011,2011.0,Export,Qatar,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",4212.0,,25.3336984,51.2295295,61.0666922,-107.991707
2011,2011.0,Export,Qatar,China,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",289106.0,,25.3336984,51.2295295,35.000074,104.999927
2011,2011.0,Export,Qatar,Denmark,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",8431.0,,25.3336984,51.2295295,55.670249,10.3333283
2011,2011.0,Export,Qatar,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",186491.0,,25.3336984,51.2295295,46.603354,1.8883335
2011,2011.0,Export,Qatar,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",282262.0,,25.3336984,51.2295295,51.1638175,10.4478313
2011,2011.0,Export,Qatar,Guinea,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",20748.0,,25.3336984,51.2295295,10.7226226,-10.7083587
2011,2011.0,Export,Qatar,"China, Hong Kong SAR",82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",30582.0,,25.3336984,51.2295295,22.350627,114.1849161
2011,2011.0,Export,Qatar,Hungary,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1805.0,,25.3336984,51.2295295,47.1817585,19.5060937
2011,2011.0,Export,Qatar,Indonesia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",43267.0,,25.3336984,51.2295295,-2.4833826,117.8902853
2011,2011.0,Export,Qatar,Iraq,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",51558.0,,25.3336984,51.2295295,33.0955793,44.1749775
2011,2011.0,Export,Qatar,Italy,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",126304.0,,25.3336984,51.2295295,42.6384261,12.674297
