yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue_export,Unnamed: 0_export,rtLat,rtLon,ptLat,ptLon,mid,TradeValue_import,Unnamed: 0_import
2010.0,2010.0,Export,Fmr Sudan,World,44.0,Wood and articles of wood; wood charcoal,179735.0,,,,-36.8535712,174.7456809,44.02010.0Fmr Sudan,81633610.0,
2010.0,2010.0,Export,Fmr Sudan,World,47.0,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) of paper or paperboard,50905.0,,,,-36.8535712,174.7456809,47.02010.0Fmr Sudan,239475.0,
2010.0,2010.0,Export,Fmr Sudan,World,48.0,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",338552.0,,,,-36.8535712,174.7456809,48.02010.0Fmr Sudan,162962613.0,
2010.0,2010.0,Export,Fmr Sudan,World,49.0,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",75331.0,,,,-36.8535712,174.7456809,49.02010.0Fmr Sudan,38401215.0,
2010.0,2010.0,Export,Fmr Sudan,World,52.0,Cotton,39484494.0,,,,-36.8535712,174.7456809,52.02010.0Fmr Sudan,2234279.0,
2010.0,2010.0,Export,Fmr Sudan,World,58.0,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,2.0,,,,-36.8535712,174.7456809,58.02010.0Fmr Sudan,7858091.0,
2010.0,2010.0,Export,Fmr Sudan,World,62.0,"Articles of apparel and clothing accessories, not knitted or crocheted",414.0,,,,-36.8535712,174.7456809,62.02010.0Fmr Sudan,153247285.0,
2010.0,2010.0,Export,Fmr Sudan,World,68.0,"Articles of stone, plaster, cement, asbestos, mica or similar materials",48.0,,,,-36.8535712,174.7456809,68.02010.0Fmr Sudan,19289874.0,
2010.0,2010.0,Export,Fmr Sudan,World,70.0,Glass and glassware,135070.0,,,,-36.8535712,174.7456809,70.02010.0Fmr Sudan,130521842.0,
2010.0,2010.0,Export,Fmr Sudan,World,71.0,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals cladwith precious metal, and articles thereof; imitation jewellery; coin",1160343544.0,,,,-36.8535712,174.7456809,71.02010.0Fmr Sudan,2122142.0,
2010.0,2010.0,Export,Fmr Sudan,World,72.0,Iron and steel,5322074.0,,,,-36.8535712,174.7456809,72.02010.0Fmr Sudan,447357930.0,
2010.0,2010.0,Export,Fmr Sudan,World,73.0,Articles of iron or steel,4735237.0,,,,-36.8535712,174.7456809,73.02010.0Fmr Sudan,265037181.0,
2010.0,2010.0,Export,Fmr Sudan,World,74.0,Copper and articles thereof,12597160.0,,,,-36.8535712,174.7456809,74.02010.0Fmr Sudan,21767190.0,
2010.0,2010.0,Export,Fmr Sudan,World,76.0,Aluminum and articles thereof,1913313.0,,,,-36.8535712,174.7456809,76.02010.0Fmr Sudan,76350304.0,
2010.0,2010.0,Export,Fmr Sudan,World,78.0,Lead and articles thereof,1033968.0,,,,-36.8535712,174.7456809,78.02010.0Fmr Sudan,311152.0,
2010.0,2010.0,Export,Fmr Sudan,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",60986.0,,,,-36.8535712,174.7456809,82.02010.0Fmr Sudan,24980546.0,
2010.0,2010.0,Export,Fmr Sudan,World,84.0,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1786781.0,,,,-36.8535712,174.7456809,84.02010.0Fmr Sudan,1418630389.0,
2010.0,2010.0,Export,Fmr Sudan,World,85.0,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",2044511.0,,,,-36.8535712,174.7456809,85.02010.0Fmr Sudan,1035958104.0,
2010.0,2010.0,Export,Fmr Sudan,World,87.0,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof",1933045.0,,,,-36.8535712,174.7456809,87.02010.0Fmr Sudan,1471254090.0,
2010.0,2010.0,Export,Fmr Sudan,World,88.0,"Aircraft, spacecraft, and parts thereof",523763.0,,,,-36.8535712,174.7456809,88.02010.0Fmr Sudan,182374647.0,
2010.0,2010.0,Export,Fmr Sudan,World,90.0,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",227052.0,,,,-36.8535712,174.7456809,90.02010.0Fmr Sudan,166856030.0,
2010.0,2010.0,Export,Fmr Sudan,World,91.0,Clocks and watches and parts thereof,19183.0,,,,-36.8535712,174.7456809,91.02010.0Fmr Sudan,2885262.0,
2010.0,2010.0,Export,Fmr Sudan,World,92.0,Musical instruments; parts and accessories of such articles,9523.0,,,,-36.8535712,174.7456809,92.02010.0Fmr Sudan,173735.0,
2010.0,2010.0,Export,Fmr Sudan,World,94.0,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings",70503.0,,,,-36.8535712,174.7456809,94.02010.0Fmr Sudan,162488704.0,
2010.0,2010.0,Export,Fmr Sudan,World,99.0,Commodities not specified according to kind,372445.0,,,,-36.8535712,174.7456809,99.02010.0Fmr Sudan,31236634.0,
