yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2009,2009,Re-Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,1832
2009,2009,Re-Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,5301
2009,2009,Re-Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,35595
