yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2005,2005,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,1419
2005,2005,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,2250
2005,2005,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,1436652
2005,2005,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,4197039
2005,2005,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,151756
2005,2005,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,529292
2005,2005,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,4207230
2005,2005,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,1090792
2005,2005,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,3611318
2005,2005,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,55310
2005,2005,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,3387838
2005,2005,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,World,World,23262468
