yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,13629083,,,-36.8535712,174.7456809
2016,2016,Import,Saudi Arabia,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,40000,,,26.1551249,50.5344606
2016,2016,Import,Saudi Arabia,Canada,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,147466,,,61.0666922,-107.991707
2016,2016,Import,Saudi Arabia,China,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,464000,,,35.000074,104.999927
2016,2016,Import,Saudi Arabia,Czechia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1666935,,,,
2016,2016,Import,Saudi Arabia,France,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,37866,,,46.603354,1.8883335
2016,2016,Import,Saudi Arabia,Germany,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,182933,,,51.1638175,10.4478313
2016,2016,Import,Saudi Arabia,Indonesia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,30666,,,-2.4833826,117.8902853
2016,2016,Import,Saudi Arabia,Italy,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,48533,,,42.6384261,12.674297
2016,2016,Import,Saudi Arabia,Rep. of Korea,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,61866,,,,
2016,2016,Import,Saudi Arabia,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,498667,,,29.2733964,47.4979476
2016,2016,Import,Saudi Arabia,Netherlands,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,389067,,,52.2434979,5.6343227
2016,2016,Import,Saudi Arabia,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,424000,,,30.3308401,71.247499
2016,2016,Import,Saudi Arabia,Poland,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,414133,,,52.215933,19.134422
2016,2016,Import,Saudi Arabia,India,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,468267,,,22.3511148,78.6677428
2016,2016,Import,Saudi Arabia,South Africa,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,159200,,,-28.8166236,24.991639
2016,2016,Import,Saudi Arabia,Sweden,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1029601,,,59.6749712,14.5208584
2016,2016,Import,Saudi Arabia,Switzerland,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,609334,,,46.7985624,8.2319736
2016,2016,Import,Saudi Arabia,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,321333,,,24.0002488,53.9994829
2016,2016,Import,Saudi Arabia,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,501067,,,38.9597594,34.9249653
2016,2016,Import,Saudi Arabia,United Kingdom,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,432533,,,54.7023545,-3.2765753
2016,2016,Import,Saudi Arabia,USA,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5701607,,,,
