yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,1033025,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,31518,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,267892,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,114,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,514807,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,610,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,5933194,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,2926200,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,3525609,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,4373603,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,12725,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,88366985,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,27,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,464578,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,27726,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,134039437,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Afghanistan, Afghanistan,1840,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Algeria, Algeria,3800,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Azerbaijan, Azerbaijan,7220,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Bahrain, Bahrain,654057,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Comoros, Comoros,26957,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Djibouti, Djibouti,515881,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Georgia, Georgia,466070,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Iraq, Iraq,3972286,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,422101,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,192457,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,2354,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Morocco, Morocco,412078,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,675273,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Pakistan, Pakistan,690607,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,9305038,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,4398226,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, State of Palestine, State of Palestine,79871,24.0002488,53.9994829,,
2008,2008,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,3042912,24.0002488,53.9994829,,
