yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,1951,,,-36.8535712,174.7456809
2018,2018,Export,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,23203,,,-36.8535712,174.7456809
2019,2019,Export,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,38183,,,-36.8535712,174.7456809
2020,2020,Export,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,39437,,,-36.8535712,174.7456809
2016,2016,Export,Kuwait,World,64,Footwear; gaiters and the like; parts of such articles,7139671,,,-36.8535712,174.7456809
2018,2018,Export,Kuwait,World,64,Footwear; gaiters and the like; parts of such articles,11664584,,,-36.8535712,174.7456809
2019,2019,Export,Kuwait,World,64,Footwear; gaiters and the like; parts of such articles,19307864,,,-36.8535712,174.7456809
2020,2020,Export,Kuwait,World,64,Footwear; gaiters and the like; parts of such articles,10761700,,,-36.8535712,174.7456809
2016,2016,Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,5906119,,,-36.8535712,174.7456809
2017,2017,Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,26903214,,,-36.8535712,174.7456809
2018,2018,Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,33205484,,,-36.8535712,174.7456809
2019,2019,Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,28737721,,,-36.8535712,174.7456809
2020,2020,Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,21339925,,,-36.8535712,174.7456809
2021,2021,Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,25441425,,,-36.8535712,174.7456809
2016,2016,Export,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,8166649,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Export,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,4080866,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Export,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,8390990,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Export,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,8756259,25.3336984,51.2295295,-36.8535712,174.7456809
2020,2020,Export,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,4285145,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Export,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,5265836,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Export,Saudi Arabia,World,64,Footwear; gaiters and the like; parts of such articles,11460311,,,-36.8535712,174.7456809
2018,2018,Export,Saudi Arabia,World,64,Footwear; gaiters and the like; parts of such articles,15300021,,,-36.8535712,174.7456809
2019,2019,Export,Saudi Arabia,World,64,Footwear; gaiters and the like; parts of such articles,1202167,,,-36.8535712,174.7456809
2020,2020,Export,Saudi Arabia,World,64,Footwear; gaiters and the like; parts of such articles,9570127,,,-36.8535712,174.7456809
2017,2017,Export,Turkey,World,64,Footwear; gaiters and the like; parts of such articles,796357420,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Export,Turkey,World,64,Footwear; gaiters and the like; parts of such articles,920467088,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Export,Turkey,World,64,Footwear; gaiters and the like; parts of such articles,958237938,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Export,Turkey,World,64,Footwear; gaiters and the like; parts of such articles,1081854896,38.9597594,34.9249653,-36.8535712,174.7456809
