yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,2155,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,378,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,17634,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,53411,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,28032,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,3333,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,157,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,World,World,2940284,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,67669,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Georgia, Georgia,2512,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,108951,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,541470,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,67159,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,104308,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,110998,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,655064,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,511251,34.9823018,33.1451285,,
2005,2005,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,14284,34.9823018,33.1451285,,
