yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2011,2011,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,33
2011,2011,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,28
2011,2011,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,725
2011,2011,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,476
2011,2011,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,89305
