rtTitle,Subregion,rgDesc,TradeValue
Algeria,Afghanistan,Import,286
Algeria,Armenia,Import,307
Algeria,Bahrain,Export,290902
Algeria,Bahrain,Import,65522804
Algeria,Comoros,Import,60445
Algeria,Cyprus,Export,748867
Algeria,Cyprus,Import,2270813
Algeria,Djibouti,Export,56958
Algeria,Djibouti,Import,1936
Algeria,Georgia,Import,983326
Algeria,Iraq,Export,41576291
Algeria,Jordan,Export,2860220
Algeria,Jordan,Import,150938782
Algeria,Kuwait,Export,572144
Algeria,Kuwait,Import,72123636
Algeria,Lebanon,Export,12612349
Algeria,Lebanon,Import,67320722
Algeria,Libya,Export,11344194
Algeria,Libya,Import,7800879
Algeria,Malta,Export,19178
Algeria,Malta,Import,420447
Algeria,Mauritania,Export,659887
Algeria,Mauritania,Import,209871
Algeria,Morocco,Export,20356988
Algeria,Morocco,Import,178981968
Algeria,Oman,Export,793409
Algeria,Oman,Import,42637385
Algeria,Pakistan,Export,363541
Algeria,Pakistan,Import,25483427
Algeria,Qatar,Export,1727439
Algeria,Qatar,Import,29135262
Algeria,Saudi Arabia,Export,19925722
Algeria,Saudi Arabia,Import,445916077
Algeria,State of Palestine,Import,6141371
Algeria,United Arab Emirates,Export,10528812
Algeria,United Arab Emirates,Import,317533436
Algeria,Yemen,Export,35635
Algeria,Yemen,Import,244454
