yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,241,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,122450,30.3308401,71.247499,37.977378106878206,73.97804075806764
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,727,30.3308401,71.247499,51.67568633314729,27.673469819741847
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,387362,30.3308401,71.247499,59.36075159783851,25.01346951967388
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,677188,30.3308401,71.247499,10.528384761701911,103.08333472012376
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,650692,30.3308401,71.247499,25.499703063807168,75.5024015339642
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,3074,30.3308401,71.247499,40.12399607988535,20.742583178432696
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,78032,30.3308401,71.247499,6.06272746187266,22.727528470146083
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1121643,30.3308401,71.247499,26.42921218083572,52.86847103284948
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,517682,30.3308401,71.247499,47.92172048214207,7.866753258497997
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4123766,30.3308401,71.247499,,
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Afghanistan, Afghanistan,6985,30.3308401,71.247499,,
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,48891,30.3308401,71.247499,,
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Comoros, Comoros,13315,30.3308401,71.247499,,
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Cyprus, Cyprus,2930,30.3308401,71.247499,,
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Iraq, Iraq,111987,30.3308401,71.247499,,
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,23552,30.3308401,71.247499,,
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,5045,30.3308401,71.247499,,
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,7328,30.3308401,71.247499,,
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,213242,30.3308401,71.247499,,
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,21993,30.3308401,71.247499,,
2004,2004,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Yemen, Yemen,28025,30.3308401,71.247499,,
