yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",31810,,,-36.8535712,174.7456809
2016,2016,Import,Comoros,China,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",4396,,,35.000074,104.999927
2016,2016,Import,Comoros,France,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",8979,,,46.603354,1.8883335
2016,2016,Import,Comoros,Madagascar,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",50,,,-18.9249604,46.4416422
2016,2016,Import,Comoros,Mauritius,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3316,,,-20.2759451,57.5703566
2016,2016,Import,Comoros,India,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",112,,,22.3511148,78.6677428
2016,2016,Import,Comoros,United Arab Emirates,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",14955,,,24.0002488,53.9994829
2018,2018,Import,Comoros,World,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",258435,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,China,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",239259,,,35.000074,104.999927
2018,2018,Import,Comoros,France,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",12208,,,46.603354,1.8883335
2018,2018,Import,Comoros,United Arab Emirates,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",6801,,,24.0002488,53.9994829
2018,2018,Import,Comoros,United Rep. of Tanzania,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",165,,,,
2019,2019,Import,Comoros,World,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",32608,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,China,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",25251,,,35.000074,104.999927
2019,2019,Import,Comoros,France,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3547,,,46.603354,1.8883335
2019,2019,Import,Comoros,United Arab Emirates,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3300,,,24.0002488,53.9994829
2019,2019,Import,Comoros,United Rep. of Tanzania,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",508,,,,
2020,2020,Import,Comoros,World,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",38537,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,China,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",15524,,,35.000074,104.999927
2020,2020,Import,Comoros,France,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",5816,,,46.603354,1.8883335
2020,2020,Import,Comoros,Indonesia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",660,,,-2.4833826,117.8902853
2020,2020,Import,Comoros,Mauritius,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",230,,,-20.2759451,57.5703566
2020,2020,Import,Comoros,United Arab Emirates,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",14327,,,24.0002488,53.9994829
2020,2020,Import,Comoros,Turkey,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1040,,,38.9597594,34.9249653
2020,2020,Import,Comoros,United Rep. of Tanzania,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",937,,,,
