yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,146,31.1667049,36.941628,37.977378106878206,73.97804075806764
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,458889,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,12446,31.1667049,36.941628,6.06272746187266,22.727528470146083
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,240339,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1573107,31.1667049,36.941628,26.42921218083572,52.86847103284948
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,8058951,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,42613,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,25575,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,2038389,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,37918,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,371080,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,81670,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,3914,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,473,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,2170734,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,State of Palestine, State of Palestine,502810,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,77230,31.1667049,36.941628,,
2013,2013,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,6142,31.1667049,36.941628,,
