yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Re-Export,Yemen,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,7462,,,-36.8535712,174.7456809
2019,2019,Re-Export,Yemen,China,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,4459,,,35.000074,104.999927
2019,2019,Re-Export,Yemen,Egypt,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,3002,,,26.2540493,29.2675469
