yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,State of Palestine,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,340,31.46,34.26,37.977378106878206,73.97804075806764
2007,2007,Import,State of Palestine,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,139540,31.46,34.26,,
2007,2007,Import,State of Palestine,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Israel, Israel,139200,31.46,34.26,,
